GEOID,ORIGIN,IMPRACE,RESPOP
01001,1,1,42078
01001,1,2,11420
01001,1,3,188
01001,1,4,878
01001,1,5,25
01001,1,6,522
01001,1,7,974
01001,1,8,337
01001,1,9,29
01001,1,10,59
01001,1,11,54
01001,1,12,19
01001,1,13,7
01001,1,14,0
01001,1,15,3
01001,1,16,50
01001,1,17,9
01001,1,18,0
01001,1,19,7
01001,1,20,3
01001,1,21,13
01001,1,22,8
01001,1,23,0
01001,1,24,0
01001,1,25,0
01001,1,26,1
01001,1,27,4
01001,1,28,0
01001,1,29,0
01001,1,30,0
01001,1,31,0
01001,2,0,2117
01003,1,1,189028
01003,1,2,18238
01003,1,3,1291
01003,1,4,2042
01003,1,5,125
01003,1,6,1900
01003,1,7,4692
01003,1,8,1076
01003,1,9,97
01003,1,10,119
01003,1,11,71
01003,1,12,8
01003,1,13,2
01003,1,14,3
01003,1,15,23
01003,1,16,179
01003,1,17,48
01003,1,18,8
01003,1,19,44
01003,1,20,17
01003,1,21,48
01003,1,22,0
01003,1,23,0
01003,1,24,1
01003,1,25,0
01003,1,26,18
01003,1,27,0
01003,1,28,0
01003,1,29,2
01003,1,30,1
01003,1,31,0
01003,2,0,12686
01005,1,1,11158
01005,1,2,11913
01005,1,3,58
01005,1,4,104
01005,1,5,0
01005,1,6,226
01005,1,7,179
01005,1,8,20
01005,1,9,0
01005,1,10,25
01005,1,11,0
01005,1,12,6
01005,1,13,3
01005,1,14,0
01005,1,15,2
01005,1,16,12
01005,1,17,0
01005,1,18,0
01005,1,19,4
01005,1,20,0
01005,1,21,1
01005,1,22,0
01005,1,23,0
01005,1,24,0
01005,1,25,0
01005,1,26,0
01005,1,27,0
01005,1,28,0
01005,1,29,0
01005,1,30,0
01005,1,31,2
01005,2,0,1510
01007,1,1,16552
01007,1,2,4399
01007,1,3,44
01007,1,4,26
01007,1,5,9
01007,1,6,169
01007,1,7,300
01007,1,8,10
01007,1,9,0
01007,1,10,16
01007,1,11,4
01007,1,12,0
01007,1,13,0
01007,1,14,0
01007,1,15,4
01007,1,16,18
01007,1,17,0
01007,1,18,0
01007,1,19,1
01007,1,20,0
01007,1,21,0
01007,1,22,0
01007,1,23,0
01007,1,24,0
01007,1,25,0
01007,1,26,0
01007,1,27,1
01007,1,28,0
01007,1,29,0
01007,1,30,0
01007,1,31,0
01007,2,0,740
01009,1,1,50244
01009,1,2,863
01009,1,3,194
01009,1,4,174
01009,1,5,11
01009,1,6,319
01009,1,7,1329
01009,1,8,130
01009,1,9,26
01009,1,10,0
01009,1,11,3
01009,1,12,0
01009,1,13,1
01009,1,14,0
01009,1,15,0
01009,1,16,27
01009,1,17,5
01009,1,18,1
01009,1,19,19
01009,1,20,4
01009,1,21,0
01009,1,22,1
01009,1,23,0
01009,1,24,0
01009,1,25,0
01009,1,26,11
01009,1,27,1
01009,1,28,0
01009,1,29,0
01009,1,30,0
01009,1,31,0
01009,2,0,5771
01011,1,1,2291
