,NAME,variable,numeric_change_period,numeric_change
1,California,AA_alone,2000 to 2010,1163494
2,Texas,AA_alone,2000 to 2010,402277
3,New York,AA_alone,2000 to 2010,375268
4,New Jersey,AA_alone,2000 to 2010,245450
5,Florida,AA_alone,2000 to 2010,188565
6,Virginia,AA_alone,2000 to 2010,178865
7,Illinois,AA_alone,2000 to 2010,163331
8,Washington,AA_alone,2000 to 2010,158732
9,Georgia,AA_alone,2000 to 2010,141297
10,Pennsylvania,AA_alone,2000 to 2010,129275
11,California,AA_alone,2000 to 2020,2388434
12,Texas,AA_alone,2000 to 2020,1023161
13,New York,AA_alone,2000 to 2020,888151
14,New Jersey,AA_alone,2000 to 2020,469814
15,Washington,AA_alone,2000 to 2020,408261
16,Florida,AA_alone,2000 to 2020,377426
17,Virginia,AA_alone,2000 to 2020,354411
18,Illinois,AA_alone,2000 to 2020,331275
19,Georgia,AA_alone,2000 to 2020,305858
20,Pennsylvania,AA_alone,2000 to 2020,290688
21,California,AA_alone,2010 to 2020,1224940
22,Texas,AA_alone,2010 to 2020,620884
23,New York,AA_alone,2010 to 2020,512883
24,Washington,AA_alone,2010 to 2020,249529
25,New Jersey,AA_alone,2010 to 2020,224364
26,Florida,AA_alone,2010 to 2020,188861
27,Virginia,AA_alone,2010 to 2020,175546
28,Illinois,AA_alone,2010 to 2020,167944
29,Georgia,AA_alone,2010 to 2020,164561
30,Pennsylvania,AA_alone,2010 to 2020,161413
31,California,AA_alone_combination,2000 to 2010,1400907
32,Texas,AA_alone_combination,2000 to 2010,466473
33,New York,AA_alone_combination,2000 to 2010,410294
34,New Jersey,AA_alone_combination,2000 to 2010,270807
35,Florida,AA_alone_combination,2000 to 2010,240070
36,Virginia,AA_alone_combination,2000 to 2010,217640
37,Washington,AA_alone_combination,2000 to 2010,208510
38,Illinois,AA_alone_combination,2000 to 2010,195045
39,Georgia,AA_alone_combination,2000 to 2010,165685
40,Pennsylvania,AA_alone_combination,2000 to 2010,153986
41,California,AA_alone_combination,2000 to 2020,2608433
42,Texas,AA_alone_combination,2000 to 2020,1011973
43,New York,AA_alone_combination,2000 to 2020,715146
44,Washington,AA_alone_combination,2000 to 2020,458876
45,Florida,AA_alone_combination,2000 to 2020,430600
46,New Jersey,AA_alone_combination,2000 to 2020,424642
47,Virginia,AA_alone_combination,2000 to 2020,386890
48,Illinois,AA_alone_combination,2000 to 2020,355198
49,Georgia,AA_alone_combination,2000 to 2020,315622
50,Pennsylvania,AA_alone_combination,2000 to 2020,283734
51,California,AA_alone_combination,2010 to 2020,1207526
52,Texas,AA_alone_combination,2010 to 2020,545500
53,New York,AA_alone_combination,2010 to 2020,304852
54,Washington,AA_alone_combination,2010 to 2020,250366
55,Florida,AA_alone_combination,2010 to 2020,190530
56,Virginia,AA_alone_combination,2010 to 2020,169250
57,Illinois,AA_alone_combination,2010 to 2020,160153
58,New Jersey,AA_alone_combination,2010 to 2020,153835
59,Georgia,AA_alone_combination,2010 to 2020,149937
60,Massachusetts,AA_alone_combination,2010 to 2020,144198
61,California,NHPI_alone,2000 to 2010,27425
62,Hawaii,NHPI_alone,2000 to 2010,21883
63,Washington,NHPI_alone,2000 to 2010,16522
64,Utah,NHPI_alone,2000 to 2010,9409
65,Nevada,NHPI_alone,2000 to 2010,8445
66,Texas,NHPI_alone,2000 to 2010,7222
67,Arizona,NHPI_alone,2000 to 2010,5915
68,Oregon,NHPI_alone,2000 to 2010,5428
69,Arkansas,NHPI_alone,2000 to 2010,4195
70,Alaska,NHPI_alone,2000 to 2010,4100
71,Hawaii,NHPI_alone,2000 to 2020,43906
72,Washington,NHPI_alone,2000 to 2020,40980
73,California,NHPI_alone,2000 to 2020,40302
74,Utah,NHPI_alone,2000 to 2020,21785
75,Texas,NHPI_alone,2000 to 2020,19177
76,Nevada,NHPI_alone,2000 to 2020,16585
77,Arkansas,NHPI_alone,2000 to 2020,12865
78,Oregon,NHPI_alone,2000 to 2020,11228
79,Arizona,NHPI_alone,2000 to 2020,9664
80,Alaska,NHPI_alone,2000 to 2020,9389
81,Washington,NHPI_alone,2010 to 2020,24458
82,Hawaii,NHPI_alone,2010 to 2020,22023
83,California,NHPI_alone,2010 to 2020,12877
84,Utah,NHPI_alone,2010 to 2020,12376
85,Texas,NHPI_alone,2010 to 2020,11955
86,Arkansas,NHPI_alone,2010 to 2020,8670
87,Nevada,NHPI_alone,2010 to 2020,8140
88,Oregon,NHPI_alone,2010 to 2020,5800
89,Alaska,NHPI_alone,2010 to 2020,5289
90,Oklahoma,NHPI_alone,2010 to 2020,4239
