"","STNAME","CTYNAME","RACE","MR"
"1","AK","Aleutians East Borough","API_alone",729
"2","AK","Aleutians East Borough","API_combo",763
"3","AK","Aleutians West Census Area","API_alone",1387
"4","AK","Aleutians West Census Area","API_combo",1481
"5","AK","Anchorage Municipality","API_alone",17319
"6","AK","Anchorage Municipality","API_combo",22190
"7","AK","Bethel Census Area","API_alone",178
"8","AK","Bethel Census Area","API_combo",240
"9","AK","Bristol Bay Borough","API_alone",11
"10","AK","Bristol Bay Borough","API_combo",25
"11","AK","Denali Borough","API_alone",37
"12","AK","Denali Borough","API_combo",51
"13","AK","Dillingham Census Area","API_alone",33
"14","AK","Dillingham Census Area","API_combo",73
"15","AK","Fairbanks North Star Borough","API_alone",2039
"16","AK","Fairbanks North Star Borough","API_combo",3189
"17","AK","Haines Borough","API_alone",19
"18","AK","Haines Borough","API_combo",31
"19","AK","Juneau City and Borough","API_alone",1590
"20","AK","Juneau City and Borough","API_combo",2291
"21","AK","Kenai Peninsula Borough","API_alone",576
"22","AK","Kenai Peninsula Borough","API_combo",1025
"23","AK","Ketchikan Gateway Borough","API_alone",632
"24","AK","Ketchikan Gateway Borough","API_combo",808
"25","AK","Kodiak Island Borough","API_alone",2367
"26","AK","Kodiak Island Borough","API_combo",2644
"27","AK","Lake and Peninsula Borough","API_alone",11
"28","AK","Lake and Peninsula Borough","API_combo",15
"29","AK","Matanuska-Susitna Borough","API_alone",509
"30","AK","Matanuska-Susitna Borough","API_combo",1069
"31","AK","Nome Census Area","API_alone",64
"32","AK","Nome Census Area","API_combo",98
"33","AK","North Slope Borough","API_alone",500
"34","AK","North Slope Borough","API_combo",630
"35","AK","Northwest Arctic Borough","API_alone",68
"36","AK","Northwest Arctic Borough","API_combo",99
"37","AK","Prince of Wales-Outer Ketchikan Census Area","API_alone",27
"38","AK","Prince of Wales-Outer Ketchikan Census Area","API_combo",89
"39","AK","Sitka City and Borough","API_alone",382
"40","AK","Sitka City and Borough","API_combo",525
"41","AK","Skagway-Hoonah-Angoon Census Area","API_alone",18
"42","AK","Skagway-Hoonah-Angoon Census Area","API_combo",50
"43","AK","Southeast Fairbanks Census Area","API_alone",53
"44","AK","Southeast Fairbanks Census Area","API_combo",94
"45","AK","Valdez-Cordova Census Area","API_alone",399
"46","AK","Valdez-Cordova Census Area","API_combo",540
"47","AK","Wade Hampton Census Area","API_alone",9
"48","AK","Wade Hampton Census Area","API_combo",22
"49","AK","Wrangell-Petersburg Census Area","API_alone",119
"50","AK","Wrangell-Petersburg Census Area","API_combo",248
"51","AK","Yakutat City and Borough","API_alone",16
"52","AK","Yakutat City and Borough","API_combo",47
"53","AK","Yukon-Koyukuk Census Area","API_alone",28
"54","AK","Yukon-Koyukuk Census Area","API_combo",49
"55","AL","Autauga County","API_alone",217
"56","AL","Autauga County","API_combo",323
"57","AL","Baldwin County","API_alone",585
"58","AL","Baldwin County","API_combo",820
"59","AL","Barbour County","API_alone",96
"60","AL","Barbour County","API_combo",161
"61","AL","Bibb County","API_alone",19
"62","AL","Bibb County","API_combo",29
"63","AL","Blount County","API_alone",94
"64","AL","Blount County","API_combo",156
"65","AL","Bullock County","API_alone",23
"66","AL","Bullock County","API_combo",43
"67","AL","Butler County","API_alone",38
"68","AL","Butler County","API_combo",50
"69","AL","Calhoun County","API_alone",738
"70","AL","Calhoun County","API_combo",986
"71","AL","Chambers County","API_alone",70
"72","AL","Chambers County","API_combo",112
"73","AL","Cherokee County","API_alone",36
"74","AL","Cherokee County","API_combo",87
"75","AL","Chilton County","API_alone",89
"76","AL","Chilton County","API_combo",125
"77","AL","Choctaw County","API_alone",7
"78","AL","Choctaw County","API_combo",17
"79","AL","Clarke County","API_alone",47
"80","AL","Clarke County","API_combo",69
"81","AL","Clay County","API_alone",17
"82","AL","Clay County","API_combo",28
"83","AL","Cleburne County","API_alone",23
"84","AL","Cleburne County","API_combo",36
"85","AL","Coffee County","API_alone",476
"86","AL","Coffee County","API_combo",660
"87","AL","Colbert County","API_alone",148
"88","AL","Colbert County","API_combo",216
"89","AL","Conecuh County","API_alone",23
"90","AL","Conecuh County","API_combo",41
"91","AL","Coosa County","API_alone",7
"92","AL","Coosa County","API_combo",16
