"year","CTYNAME","STNAME","api"
1990,"Autauga","Alabama",121
1991,"Autauga","Alabama",126
1992,"Autauga","Alabama",137
1993,"Autauga","Alabama",144
1994,"Autauga","Alabama",159
1995,"Autauga","Alabama",166
1996,"Autauga","Alabama",179
1997,"Autauga","Alabama",186
1998,"Autauga","Alabama",194
1999,"Autauga","Alabama",200
2000,"Autauga","Alabama",212.67
1990,"Baldwin","Alabama",222
1991,"Baldwin","Alabama",234
1992,"Baldwin","Alabama",248
1993,"Baldwin","Alabama",281
1994,"Baldwin","Alabama",291
1995,"Baldwin","Alabama",316
1996,"Baldwin","Alabama",329
1997,"Baldwin","Alabama",344
1998,"Baldwin","Alabama",353
1999,"Baldwin","Alabama",371
2000,"Baldwin","Alabama",393
1990,"Barbour","Alabama",44
1991,"Barbour","Alabama",46
1992,"Barbour","Alabama",48
1993,"Barbour","Alabama",49
1994,"Barbour","Alabama",50
1995,"Barbour","Alabama",49
1996,"Barbour","Alabama",53
1997,"Barbour","Alabama",55
1998,"Barbour","Alabama",54
1999,"Barbour","Alabama",59
2000,"Barbour","Alabama",58.6
1990,"Bibb","Alabama",11
1991,"Bibb","Alabama",12
1992,"Bibb","Alabama",12
1993,"Bibb","Alabama",12
1994,"Bibb","Alabama",13
1995,"Bibb","Alabama",15
1996,"Bibb","Alabama",20
1997,"Bibb","Alabama",18
1998,"Bibb","Alabama",20
1999,"Bibb","Alabama",18
2000,"Bibb","Alabama",20.93
1990,"Blount","Alabama",33
1991,"Blount","Alabama",34
1992,"Blount","Alabama",36
1993,"Blount","Alabama",41
1994,"Blount","Alabama",42
1995,"Blount","Alabama",43
1996,"Blount","Alabama",43
1997,"Blount","Alabama",46
1998,"Blount","Alabama",49
1999,"Blount","Alabama",50
2000,"Blount","Alabama",52.2
1990,"Bullock","Alabama",10
1991,"Bullock","Alabama",10
1992,"Bullock","Alabama",10
1993,"Bullock","Alabama",14
1994,"Bullock","Alabama",15
1995,"Bullock","Alabama",14
1996,"Bullock","Alabama",11
1997,"Bullock","Alabama",12
1998,"Bullock","Alabama",12
1999,"Bullock","Alabama",12
2000,"Bullock","Alabama",13.07
1990,"Butler","Alabama",19
1991,"Butler","Alabama",19
1992,"Butler","Alabama",19
1993,"Butler","Alabama",19
1994,"Butler","Alabama",19
1995,"Butler","Alabama",20
1996,"Butler","Alabama",21
1997,"Butler","Alabama",21
1998,"Butler","Alabama",20
1999,"Butler","Alabama",20
2000,"Butler","Alabama",20.8
1990,"Calhoun","Alabama",885
1991,"Calhoun","Alabama",889
1992,"Calhoun","Alabama",910
1993,"Calhoun","Alabama",959
1994,"Calhoun","Alabama",989
1995,"Calhoun","Alabama",1029
1996,"Calhoun","Alabama",1052
1997,"Calhoun","Alabama",1057
1998,"Calhoun","Alabama",1081
1999,"Calhoun","Alabama",1056
2000,"Calhoun","Alabama",1121.93
1990,"Chambers","Alabama",13
1991,"Chambers","Alabama",13
1992,"Chambers","Alabama",13
1993,"Chambers","Alabama",13
1994,"Chambers","Alabama",16
1995,"Chambers","Alabama",13
1996,"Chambers","Alabama",13
1997,"Chambers","Alabama",14
1998,"Chambers","Alabama",15
1999,"Chambers","Alabama",15
2000,"Chambers","Alabama",14.93
1990,"Cherokee","Alabama",24
1991,"Cherokee","Alabama",24
1992,"Cherokee","Alabama",25
1993,"Cherokee","Alabama",26
1994,"Cherokee","Alabama",26
1995,"Cherokee","Alabama",30
1996,"Cherokee","Alabama",28
1997,"Cherokee","Alabama",30
