STNAME,ESTIMATE,MR,MR_COMBO,COMPARISON,PERCENT_DIFF,NUMERIC_DIFF
Alabama,29832,33647,41984,PES_alone_MR_alone,-12.01972306,-3815
Alabama,29832,33647,41984,PES_alone_MR_combo,-33.84204077,-12152
Alaska,29148,28492,37979,PES_alone_MR_alone,2.276197085,656
Alaska,29148,28492,37979,PES_alone_MR_combo,-26.31132033,-8831
Arizona,108252,106228,132307,PES_alone_MR_alone,1.887355464,2024
Arizona,108252,106228,132307,PES_alone_MR_combo,-19.99925174,-24055
Arkansas,19878,22764,28063,PES_alone_MR_alone,-13.53595047,-2886
Arkansas,19878,22764,28063,PES_alone_MR_combo,-34.14613796,-8185
California,4175972,3954466,4373305,PES_alone_MR_alone,5.448808539,221506
California,4175972,3954466,4373305,PES_alone_MR_combo,-4.616366975,-197333
Colorado,103746,104285,129983,PES_alone_MR_alone,-0.518192,-539
Colorado,103746,104285,129983,PES_alone_MR_combo,-22.45078702,-26237
Connecticut,87148,88101,99954,PES_alone_MR_alone,-1.087595364,-953
Connecticut,87148,88101,99954,PES_alone_MR_combo,-13.68879007,-12806
Delaware,16633,17006,19565,PES_alone_MR_alone,-2.217664021,-373
Delaware,16633,17006,19565,PES_alone_MR_combo,-16.19979004,-2932
District of Columbia,16983,32348,37562,PES_alone_MR_alone,-62.29348685,-15365
District of Columbia,16983,32348,37562,PES_alone_MR_combo,-75.45696214,-20579
Florida,296800,289836,356993,PES_alone_MR_alone,2.374215016,6964
Florida,296800,289836,356993,PES_alone_MR_combo,-18.41347338,-60193
Georgia,167167,183704,208685,PES_alone_MR_alone,-9.426256373,-16537
Georgia,167167,183704,208685,PES_alone_MR_combo,-22.09273863,-41518
Hawaii,768660,626808,860345,PES_alone_MR_alone,20.33038379,141852
Hawaii,768660,626808,860345,PES_alone_MR_combo,-11.25656459,-91685
Idaho,14959,13835,19872,PES_alone_MR_alone,7.807182052,1124
Idaho,14959,13835,19872,PES_alone_MR_combo,-28.21050214,-4913
Illinois,430416,442740,487034,PES_alone_MR_alone,-2.822863268,-12324
Illinois,430416,442740,487034,PES_alone_MR_combo,-12.34247098,-56618
Indiana,60314,63198,76820,PES_alone_MR_alone,-4.66999158,-2884
Indiana,60314,63198,76820,PES_alone_MR_combo,-24.0728047,-16506
Iowa,39104,38712,45069,PES_alone_MR_alone,1.007504883,392
Iowa,39104,38712,45069,PES_alone_MR_combo,-14.17319093,-5965
Kansas,49618,49862,58947,PES_alone_MR_alone,-0.490550864,-244
Kansas,49618,49862,58947,PES_alone_MR_combo,-17.18601759,-9329
Kentucky,28996,32077,39720,PES_alone_MR_alone,-10.08956495,-3081
Kentucky,28996,32077,39720,PES_alone_MR_combo,-31.21252692,-10724
Louisiana,57637,57394,66887,PES_alone_MR_alone,0.422494806,243
Louisiana,57637,57394,66887,PES_alone_MR_combo,-14.85657383,-9250
Maine,9567,9726,12486,PES_alone_MR_alone,-1.648266211,-159
Maine,9567,9726,12486,PES_alone_MR_combo,-26.47258876,-2919
Maryland,216997,218742,244430,PES_alone_MR_alone,-0.800938176,-1745
Maryland,216997,218742,244430,PES_alone_MR_combo,-11.89050489,-27433
