"","STATE","STNAME","AGEGRP","RACE","ESTIM","MR","NUM_DIFF","EOC","COVERAGE"
"1",1,"Alabama",1,"A_A",3994,3745,-249,-6.43,"undercount"
"2",1,"Alabama",1,"A_AIC",5993,5825,-168,-2.84,"undercount"
"3",1,"Alabama",1,"NHPI_A",223,633,410,95.79,"overcount"
"4",1,"Alabama",1,"NHPI_AIC",625,954,329,41.67,"overcount"
"5",1,"Alabama",2,"A_A",3761,4055,294,7.52,"overcount"
"6",1,"Alabama",2,"A_AIC",5618,5638,20,0.36,"overcount"
"7",1,"Alabama",2,"NHPI_A",196,466,270,81.57,"overcount"
"8",1,"Alabama",2,"NHPI_AIC",513,723,210,33.98,"overcount"
"9",1,"Alabama",3,"A_A",3460,3621,161,4.55,"overcount"
"10",1,"Alabama",3,"A_AIC",5116,5065,-51,-1,"undercount"
"11",1,"Alabama",3,"NHPI_A",163,383,220,80.59,"overcount"
"12",1,"Alabama",3,"NHPI_AIC",471,622,151,27.63,"overcount"
"13",1,"Alabama",4,"A_A",3114,3564,450,13.48,"overcount"
"14",1,"Alabama",4,"A_AIC",4464,4823,359,7.73,"overcount"
"15",1,"Alabama",4,"NHPI_A",205,382,177,60.31,"overcount"
"16",1,"Alabama",4,"NHPI_AIC",424,601,177,34.54,"overcount"
"17",1,"Alabama",5,"A_A",3920,4732,812,18.77,"overcount"
"18",1,"Alabama",5,"A_AIC",5215,5910,695,12.49,"overcount"
"19",1,"Alabama",5,"NHPI_A",240,727,487,100.72,"overcount"
"20",1,"Alabama",5,"NHPI_AIC",439,879,440,66.77,"overcount"
"21",1,"Alabama",6,"A_A",4180,5209,1029,21.92,"overcount"
"22",1,"Alabama",6,"A_AIC",5171,6278,1107,19.34,"overcount"
"23",1,"Alabama",6,"NHPI_A",201,700,499,110.77,"overcount"
"24",1,"Alabama",6,"NHPI_AIC",400,825,425,69.39,"overcount"
"25",1,"Alabama",7,"A_A",4122,5040,918,20.04,"overcount"
"26",1,"Alabama",7,"A_AIC",4920,5961,1041,19.13,"overcount"
"27",1,"Alabama",7,"NHPI_A",235,531,296,77.28,"overcount"
"28",1,"Alabama",7,"NHPI_AIC",428,625,197,37.42,"overcount"
"29",1,"Alabama",8,"A_A",4816,5252,436,8.66,"overcount"
"30",1,"Alabama",8,"A_AIC",5441,5947,506,8.89,"overcount"
"31",1,"Alabama",8,"NHPI_A",204,410,206,67.1,"overcount"
"32",1,"Alabama",8,"NHPI_AIC",364,565,201,43.27,"overcount"
"33",1,"Alabama",9,"A_A",4178,4585,407,9.29,"overcount"
"34",1,"Alabama",9,"A_AIC",4695,5014,319,6.57,"overcount"
"35",1,"Alabama",9,"NHPI_A",144,270,126,60.87,"overcount"
"36",1,"Alabama",9,"NHPI_AIC",259,401,142,43.03,"overcount"
"37",1,"Alabama",10,"A_A",3712,3911,199,5.22,"overcount"
"38",1,"Alabama",10,"A_AIC",4182,4382,200,4.67,"overcount"
"39",1,"Alabama",10,"NHPI_A",168,235,67,33.25,"overcount"
"40",1,"Alabama",10,"NHPI_AIC",293,386,93,27.39,"overcount"
"41",1,"Alabama",11,"A_A",3066,3285,219,6.9,"overcount"
"42",1,"Alabama",11,"A_AIC",3493,3720,227,6.29,"overcount"
"43",1,"Alabama",11,"NHPI_A",108,157,49,36.98,"overcount"
"44",1,"Alabama",11,"NHPI_AIC",226,269,43,17.37,"overcount"
"45",1,"Alabama",12,"A_A",2642,2751,109,4.04,"overcount"
"46",1,"Alabama",12,"A_AIC",3007,3057,50,1.65,"overcount"
"47",1,"Alabama",12,"NHPI_A",87,107,20,20.62,"overcount"
"48",1,"Alabama",12,"NHPI_AIC",176,198,22,11.76,"overcount"
"49",1,"Alabama",13,"A_A",2137,2158,21,0.98,"overcount"
"50",1,"Alabama",13,"A_AIC",2389,2304,-85,-3.62,"undercount"
"51",1,"Alabama",13,"NHPI_A",73,82,9,11.61,"overcount"
"52",1,"Alabama",13,"NHPI_AIC",154,131,-23,-16.14,"undercount"
"53",1,"Alabama",14,"A_A",1332,1407,75,5.48,"overcount"
"54",1,"Alabama",14,"A_AIC",1560,1503,-57,-3.72,"undercount"
"55",1,"Alabama",14,"NHPI_A",46,54,8,16,"overcount"
"56",1,"Alabama",14,"NHPI_AIC",126,106,-20,-17.24,"undercount"
"57",1,"Alabama",15,"A_A",947,885,-62,-6.77,"undercount"
"58",1,"Alabama",15,"A_AIC",1096,951,-145,-14.17,"undercount"
"59",1,"Alabama",15,"NHPI_A",35,35,0,0,"equal"
"60",1,"Alabama",15,"NHPI_AIC",84,75,-9,-11.32,"undercount"
"61",1,"Alabama",16,"A_A",700,591,-109,-16.89,"undercount"
"62",1,"Alabama",16,"A_AIC",821,599,-222,-31.27,"undercount"
"63",1,"Alabama",16,"NHPI_A",25,16,-9,-43.9,"undercount"
"64",1,"Alabama",16,"NHPI_AIC",71,39,-32,-58.18,"undercount"
"65",1,"Alabama",17,"A_A",440,306,-134,-35.92,"undercount"
"66",1,"Alabama",17,"A_AIC",528,309,-219,-52.33,"undercount"
