"","STfips","CTYfips","STNAME","CTYNAME","RACE","ESTIM","MR","NUM_DIFF","PERC_DIFF","COVERAGE"
"1",1,1,"Alabama","Autauga County","A_A",405,484,79,17.77,"overcount"
"2",1,1,"Alabama","Autauga County","A_AIC",594,709,115,17.65,"overcount"
"3",1,1,"Alabama","Autauga County","NHPI_A",28,47,19,50.67,"overcount"
"4",1,1,"Alabama","Autauga County","NHPI_AIC",50,79,29,44.96,"overcount"
"5",1,3,"Alabama","Baldwin County","A_A",1367,1369,2,0.15,"overcount"
"6",1,3,"Alabama","Baldwin County","A_AIC",1822,1855,33,1.79,"overcount"
"7",1,3,"Alabama","Baldwin County","NHPI_A",79,121,42,42,"overcount"
"8",1,3,"Alabama","Baldwin County","NHPI_AIC",185,211,26,13.13,"overcount"
"9",1,5,"Alabama","Barbour County","A_A",156,112,-44,-32.84,"undercount"
"10",1,5,"Alabama","Barbour County","A_AIC",249,124,-125,-67.02,"undercount"
"11",1,5,"Alabama","Barbour County","NHPI_A",14,47,33,108.2,"overcount"
"12",1,5,"Alabama","Barbour County","NHPI_AIC",47,56,9,17.48,"overcount"
"13",1,7,"Alabama","Bibb County","A_A",32,22,-10,-37.04,"undercount"
"14",1,7,"Alabama","Bibb County","A_AIC",63,56,-7,-11.76,"undercount"
"15",1,7,"Alabama","Bibb County","NHPI_A",3,33,30,166.67,"overcount"
"16",1,7,"Alabama","Bibb County","NHPI_AIC",17,42,25,84.75,"overcount"
"17",1,9,"Alabama","Blount County","A_A",159,125,-34,-23.94,"undercount"
"18",1,9,"Alabama","Blount County","A_AIC",277,215,-62,-25.2,"undercount"
"19",1,9,"Alabama","Blount County","NHPI_A",16,63,47,118.99,"overcount"
"20",1,9,"Alabama","Blount County","NHPI_AIC",49,76,27,43.2,"overcount"
"21",1,11,"Alabama","Bullock County","A_A",48,20,-28,-82.35,"undercount"
"22",1,11,"Alabama","Bullock County","A_AIC",76,41,-35,-59.83,"undercount"
"23",1,11,"Alabama","Bullock County","NHPI_A",4,82,78,181.4,"overcount"
"24",1,11,"Alabama","Bullock County","NHPI_AIC",12,84,72,150,"overcount"
"25",1,13,"Alabama","Butler County","A_A",129,182,53,34.08,"overcount"
"26",1,13,"Alabama","Butler County","A_AIC",164,206,42,22.7,"overcount"
"27",1,13,"Alabama","Butler County","NHPI_A",2,8,6,120,"overcount"
"28",1,13,"Alabama","Butler County","NHPI_AIC",14,13,-1,-7.41,"undercount"
"29",1,15,"Alabama","Calhoun County","A_A",881,884,3,0.34,"overcount"
"30",1,15,"Alabama","Calhoun County","A_AIC",1213,1264,51,4.12,"overcount"
"31",1,15,"Alabama","Calhoun County","NHPI_A",83,113,30,30.61,"overcount"
"32",1,15,"Alabama","Calhoun County","NHPI_AIC",186,240,54,25.35,"overcount"
"33",1,17,"Alabama","Chambers County","A_A",179,182,3,1.66,"overcount"
"34",1,17,"Alabama","Chambers County","A_AIC",244,224,-20,-8.55,"undercount"
"35",1,17,"Alabama","Chambers County","NHPI_A",4,15,11,115.79,"overcount"
"36",1,17,"Alabama","Chambers County","NHPI_AIC",32,22,-10,-37.04,"undercount"
"37",1,19,"Alabama","Cherokee County","A_A",96,55,-41,-54.3,"undercount"
"38",1,19,"Alabama","Cherokee County","A_AIC",155,77,-78,-67.24,"undercount"
"39",1,19,"Alabama","Cherokee County","NHPI_A",1,6,5,142.86,"overcount"
"40",1,19,"Alabama","Cherokee County","NHPI_AIC",27,20,-7,-29.79,"undercount"
"41",1,21,"Alabama","Chilton County","A_A",178,146,-32,-19.75,"undercount"
"42",1,21,"Alabama","Chilton County","A_AIC",253,200,-53,-23.4,"undercount"
"43",1,21,"Alabama","Chilton County","NHPI_A",14,85,71,143.43,"overcount"
"44",1,21,"Alabama","Chilton County","NHPI_AIC",43,98,55,78.01,"overcount"
"45",1,23,"Alabama","Choctaw County","A_A",34,12,-22,-95.65,"undercount"
"46",1,23,"Alabama","Choctaw County","A_AIC",54,27,-27,-66.67,"undercount"
"47",1,23,"Alabama","Choctaw County","NHPI_A",0,0,0,0,"equal"
"48",1,23,"Alabama","Choctaw County","NHPI_AIC",6,2,-4,-100,"undercount"
"49",1,25,"Alabama","Clarke County","A_A",102,79,-23,-25.41,"undercount"
"50",1,25,"Alabama","Clarke County","A_AIC",146,100,-46,-37.4,"undercount"
"51",1,25,"Alabama","Clarke County","NHPI_A",3,4,1,28.57,"overcount"
