"","STNAME","CTYNAME","RACE","MR"
"1","Alabama","Autauga County","A_A",484
"2","Alabama","Autauga County","A_AIC",709
"3","Alabama","Autauga County","NHPI_A",47
"4","Alabama","Autauga County","NHPI_AIC",79
"5","Alabama","Baldwin County","A_A",1369
"6","Alabama","Baldwin County","A_AIC",1855
"7","Alabama","Baldwin County","NHPI_A",121
"8","Alabama","Baldwin County","NHPI_AIC",211
"9","Alabama","Barbour County","A_A",112
"10","Alabama","Barbour County","A_AIC",124
"11","Alabama","Barbour County","NHPI_A",47
"12","Alabama","Barbour County","NHPI_AIC",56
"13","Alabama","Bibb County","A_A",22
"14","Alabama","Bibb County","A_AIC",56
"15","Alabama","Bibb County","NHPI_A",33
"16","Alabama","Bibb County","NHPI_AIC",42
"17","Alabama","Blount County","A_A",125
"18","Alabama","Blount County","A_AIC",215
"19","Alabama","Blount County","NHPI_A",63
"20","Alabama","Blount County","NHPI_AIC",76
"21","Alabama","Bullock County","A_A",20
"22","Alabama","Bullock County","A_AIC",41
"23","Alabama","Bullock County","NHPI_A",82
"24","Alabama","Bullock County","NHPI_AIC",84
"25","Alabama","Butler County","A_A",182
"26","Alabama","Butler County","A_AIC",206
"27","Alabama","Butler County","NHPI_A",8
"28","Alabama","Butler County","NHPI_AIC",13
"29","Alabama","Calhoun County","A_A",884
"30","Alabama","Calhoun County","A_AIC",1264
"31","Alabama","Calhoun County","NHPI_A",113
"32","Alabama","Calhoun County","NHPI_AIC",240
"33","Alabama","Chambers County","A_A",182
"34","Alabama","Chambers County","A_AIC",224
"35","Alabama","Chambers County","NHPI_A",15
"36","Alabama","Chambers County","NHPI_AIC",22
"37","Alabama","Cherokee County","A_A",55
"38","Alabama","Cherokee County","A_AIC",77
"39","Alabama","Cherokee County","NHPI_A",6
"40","Alabama","Cherokee County","NHPI_AIC",20
"41","Alabama","Chilton County","A_A",146
"42","Alabama","Chilton County","A_AIC",200
"43","Alabama","Chilton County","NHPI_A",85
"44","Alabama","Chilton County","NHPI_AIC",98
"45","Alabama","Choctaw County","A_A",12
"46","Alabama","Choctaw County","A_AIC",27
"47","Alabama","Choctaw County","NHPI_AIC",2
"48","Alabama","Clarke County","A_A",79
"49","Alabama","Clarke County","A_AIC",100
"50","Alabama","Clarke County","NHPI_A",4
"51","Alabama","Clarke County","NHPI_AIC",13
"52","Alabama","Clay County","A_A",25
"53","Alabama","Clay County","A_AIC",32
"54","Alabama","Clay County","NHPI_AIC",4
"55","Alabama","Cleburne County","A_A",23
"56","Alabama","Cleburne County","A_AIC",48
"57","Alabama","Cleburne County","NHPI_A",11
"58","Alabama","Cleburne County","NHPI_AIC",13
"59","Alabama","Coffee County","A_A",658
"60","Alabama","Coffee County","A_AIC",981
"61","Alabama","Coffee County","NHPI_A",230
"62","Alabama","Coffee County","NHPI_AIC",282
"63","Alabama","Colbert County","A_A",238
"64","Alabama","Colbert County","A_AIC",314
