"","STATE","COUNTY","STNAME","CTYNAME","population"
"1",1,1,"Alabama","Autauga County",54571
"2",1,3,"Alabama","Baldwin County",182265
"3",1,5,"Alabama","Barbour County",27457
"4",1,7,"Alabama","Bibb County",22915
"5",1,9,"Alabama","Blount County",57322
"6",1,11,"Alabama","Bullock County",10914
"7",1,13,"Alabama","Butler County",20947
"8",1,15,"Alabama","Calhoun County",118572
"9",1,17,"Alabama","Chambers County",34215
"10",1,19,"Alabama","Cherokee County",25989
"11",1,21,"Alabama","Chilton County",43643
"12",1,23,"Alabama","Choctaw County",13859
"13",1,25,"Alabama","Clarke County",25833
"14",1,27,"Alabama","Clay County",13932
"15",1,29,"Alabama","Cleburne County",14972
"16",1,31,"Alabama","Coffee County",49948
"17",1,33,"Alabama","Colbert County",54428
"18",1,35,"Alabama","Conecuh County",13228
"19",1,37,"Alabama","Coosa County",11539
"20",1,39,"Alabama","Covington County",37765
"21",1,41,"Alabama","Crenshaw County",13906
"22",1,43,"Alabama","Cullman County",80406
"23",1,45,"Alabama","Dale County",50251
"24",1,47,"Alabama","Dallas County",43820
"25",1,49,"Alabama","DeKalb County",71109
"26",1,51,"Alabama","Elmore County",79303
"27",1,53,"Alabama","Escambia County",38319
"28",1,55,"Alabama","Etowah County",104430
"29",1,57,"Alabama","Fayette County",17241
"30",1,59,"Alabama","Franklin County",31704
"31",1,61,"Alabama","Geneva County",26790
"32",1,63,"Alabama","Greene County",9045
"33",1,65,"Alabama","Hale County",15760
"34",1,67,"Alabama","Henry County",17302
"35",1,69,"Alabama","Houston County",101547
"36",1,71,"Alabama","Jackson County",53227
"37",1,73,"Alabama","Jefferson County",658466
"38",1,75,"Alabama","Lamar County",14564
"39",1,77,"Alabama","Lauderdale County",92709
"40",1,79,"Alabama","Lawrence County",34339
"41",1,81,"Alabama","Lee County",140247
"42",1,83,"Alabama","Limestone County",82782
"43",1,85,"Alabama","Lowndes County",11299
"44",1,87,"Alabama","Macon County",21452
"45",1,89,"Alabama","Madison County",334811
"46",1,91,"Alabama","Marengo County",21027
"47",1,93,"Alabama","Marion County",30776
"48",1,95,"Alabama","Marshall County",93019
"49",1,97,"Alabama","Mobile County",412992
"50",1,99,"Alabama","Monroe County",23068
"51",1,101,"Alabama","Montgomery County",229363
"52",1,103,"Alabama","Morgan County",119490
"53",1,105,"Alabama","Perry County",10591
"54",1,107,"Alabama","Pickens County",19746
"55",1,109,"Alabama","Pike County",32899
"56",1,111,"Alabama","Randolph County",22913
"57",1,113,"Alabama","Russell County",52947
"58",1,115,"Alabama","St. Clair County",83593
"59",1,117,"Alabama","Shelby County",195085
"60",1,119,"Alabama","Sumter County",13763
"61",1,121,"Alabama","Talladega County",82291
"62",1,123,"Alabama","Tallapoosa County",41616
"63",1,125,"Alabama","Tuscaloosa County",194656
"64",1,127,"Alabama","Walker County",67023
"65",1,129,"Alabama","Washington County",17581
"66",1,131,"Alabama","Wilcox County",11670
"67",1,133,"Alabama","Winston County",24484
"68",2,13,"Alaska","Aleutians East Borough",3141
"69",2,16,"Alaska","Aleutians West Census Area",5561
"70",2,20,"Alaska","Anchorage Municipality",291826
"71",2,50,"Alaska","Bethel Census Area",17013
"72",2,60,"Alaska","Bristol Bay Borough",997
"73",2,68,"Alaska","Denali Borough",1826
"74",2,70,"Alaska","Dillingham Census Area",4847
"75",2,90,"Alaska","Fairbanks North Star Borough",97581
"76",2,100,"Alaska","Haines Borough",2508
"77",2,105,"Alaska","Hoonah-Angoon Census Area",2150
"78",2,110,"Alaska","Juneau City and Borough",31275
"79",2,122,"Alaska","Kenai Peninsula Borough",55400
"80",2,130,"Alaska","Ketchikan Gateway Borough",13477
"81",2,150,"Alaska","Kodiak Island Borough",13592
"82",2,164,"Alaska","Lake and Peninsula Borough",1631
"83",2,170,"Alaska","Matanuska-Susitna Borough",88995
"84",2,180,"Alaska","Nome Census Area",9492
"85",2,185,"Alaska","North Slope Borough",9430
"86",2,188,"Alaska","Northwest Arctic Borough",7523
"87",2,195,"Alaska","Petersburg Census Area",3815
"88",2,198,"Alaska","Prince of Wales-Hyder Census Area",5559
"89",2,220,"Alaska","Sitka City and Borough",8881
"90",2,230,"Alaska","Skagway Municipality",968
"91",2,240,"Alaska","Southeast Fairbanks Census Area",7029
"92",2,261,"Alaska","Valdez-Cordova Census Area",9636
"93",2,270,"Alaska","Wade Hampton Census Area",7459
"94",2,275,"Alaska","Wrangell City and Borough",2369
"95",2,282,"Alaska","Yakutat City and Borough",662
"96",2,290,"Alaska","Yukon-Koyukuk Census Area",5588
"97",4,1,"Arizona","Apache County",71518
"98",4,3,"Arizona","Cochise County",131346
"99",4,5,"Arizona","Coconino County",134421
"100",4,7,"Arizona","Gila County",53597
"101",4,9,"Arizona","Graham County",37220
"102",4,11,"Arizona","Greenlee County",8437
"103",4,12,"Arizona","La Paz County",20489
"104",4,13,"Arizona","Maricopa County",3817117
"105",4,15,"Arizona","Mohave County",200186
"106",4,17,"Arizona","Navajo County",107449
"107",4,19,"Arizona","Pima County",980263
"108",4,21,"Arizona","Pinal County",375770
"109",4,23,"Arizona","Santa Cruz County",47420
"110",4,25,"Arizona","Yavapai County",211033
"111",4,27,"Arizona","Yuma County",195751
"112",5,1,"Arkansas","Arkansas County",19019
"113",5,3,"Arkansas","Ashley County",21853
"114",5,5,"Arkansas","Baxter County",41513
"115",5,7,"Arkansas","Benton County",221339
"116",5,9,"Arkansas","Boone County",36903
"117",5,11,"Arkansas","Bradley County",11508
"118",5,13,"Arkansas","Calhoun County",5368
"119",5,15,"Arkansas","Carroll County",27446
"120",5,17,"Arkansas","Chicot County",11800
"121",5,19,"Arkansas","Clark County",22995
"122",5,21,"Arkansas","Clay County",16083
"123",5,23,"Arkansas","Cleburne County",25970
"124",5,25,"Arkansas","Cleveland County",8689
"125",5,27,"Arkansas","Columbia County",24552
"126",5,29,"Arkansas","Conway County",21273
"127",5,31,"Arkansas","Craighead County",96443
"128",5,33,"Arkansas","Crawford County",61948
"129",5,35,"Arkansas","Crittenden County",50902
"130",5,37,"Arkansas","Cross County",17870
"131",5,39,"Arkansas","Dallas County",8116
"132",5,41,"Arkansas","Desha County",13008
"133",5,43,"Arkansas","Drew County",18509
"134",5,45,"Arkansas","Faulkner County",113237
"135",5,47,"Arkansas","Franklin County",18125
"136",5,49,"Arkansas","Fulton County",12245
"137",5,51,"Arkansas","Garland County",96024
"138",5,53,"Arkansas","Grant County",17853
"139",5,55,"Arkansas","Greene County",42090
"140",5,57,"Arkansas","Hempstead County",22609
"141",5,59,"Arkansas","Hot Spring County",32923
"142",5,61,"Arkansas","Howard County",13789
"143",5,63,"Arkansas","Independence County",36647
"144",5,65,"Arkansas","Izard County",13696
"145",5,67,"Arkansas","Jackson County",17997
"146",5,69,"Arkansas","Jefferson County",77435
"147",5,71,"Arkansas","Johnson County",25540
"148",5,73,"Arkansas","Lafayette County",7645
"149",5,75,"Arkansas","Lawrence County",17415
"150",5,77,"Arkansas","Lee County",10424
"151",5,79,"Arkansas","Lincoln County",14134
"152",5,81,"Arkansas","Little River County",13171
"153",5,83,"Arkansas","Logan County",22353
"154",5,85,"Arkansas","Lonoke County",68356
"155",5,87,"Arkansas","Madison County",15717
"156",5,89,"Arkansas","Marion County",16653
"157",5,91,"Arkansas","Miller County",43462
"158",5,93,"Arkansas","Mississippi County",46480
"159",5,95,"Arkansas","Monroe County",8149
"160",5,97,"Arkansas","Montgomery County",9487
"161",5,99,"Arkansas","Nevada County",8997
"162",5,101,"Arkansas","Newton County",8330
"163",5,103,"Arkansas","Ouachita County",26120
"164",5,105,"Arkansas","Perry County",10445
"165",5,107,"Arkansas","Phillips County",21757
"166",5,109,"Arkansas","Pike County",11291
"167",5,111,"Arkansas","Poinsett County",24583
"168",5,113,"Arkansas","Polk County",20662
"169",5,115,"Arkansas","Pope County",61754
"170",5,117,"Arkansas","Prairie County",8715
"171",5,119,"Arkansas","Pulaski County",382748
"172",5,121,"Arkansas","Randolph County",17969
"173",5,123,"Arkansas","St. Francis County",28258
"174",5,125,"Arkansas","Saline County",107118
"175",5,127,"Arkansas","Scott County",11233
"176",5,129,"Arkansas","Searcy County",8195
"177",5,131,"Arkansas","Sebastian County",125744
"178",5,133,"Arkansas","Sevier County",17058
"179",5,135,"Arkansas","Sharp County",17264
"180",5,137,"Arkansas","Stone County",12394
"181",5,139,"Arkansas","Union County",41639
"182",5,141,"Arkansas","Van Buren County",17295
"183",5,143,"Arkansas","Washington County",203065
"184",5,145,"Arkansas","White County",77076
"185",5,147,"Arkansas","Woodruff County",7260
"186",5,149,"Arkansas","Yell County",22185
"187",6,1,"California","Alameda County",1510271
"188",6,3,"California","Alpine County",1175
"189",6,5,"California","Amador County",38091
"190",6,7,"California","Butte County",220000
"191",6,9,"California","Calaveras County",45578
"192",6,11,"California","Colusa County",21419
"193",6,13,"California","Contra Costa County",1049025
"194",6,15,"California","Del Norte County",28610
"195",6,17,"California","El Dorado County",181058
"196",6,19,"California","Fresno County",930450
"197",6,21,"California","Glenn County",28122
"198",6,23,"California","Humboldt County",134623
"199",6,25,"California","Imperial County",174528
"200",6,27,"California","Inyo County",18546
"201",6,29,"California","Kern County",839631
"202",6,31,"California","Kings County",152982
"203",6,33,"California","Lake County",64665
"204",6,35,"California","Lassen County",34895
"205",6,37,"California","Los Angeles County",9818605
"206",6,39,"California","Madera County",150865
"207",6,41,"California","Marin County",252409
"208",6,43,"California","Mariposa County",18251
"209",6,45,"California","Mendocino County",87841
"210",6,47,"California","Merced County",255793
"211",6,49,"California","Modoc County",9686
"212",6,51,"California","Mono County",14202
"213",6,53,"California","Monterey County",415057
"214",6,55,"California","Napa County",136484
"215",6,57,"California","Nevada County",98764
"216",6,59,"California","Orange County",3010232
"217",6,61,"California","Placer County",348432
"218",6,63,"California","Plumas County",20007
"219",6,65,"California","Riverside County",2189641
"220",6,67,"California","Sacramento County",1418788
"221",6,69,"California","San Benito County",55269
"222",6,71,"California","San Bernardino County",2035210
"223",6,73,"California","San Diego County",3095313
"224",6,75,"California","San Francisco County",805235
"225",6,77,"California","San Joaquin County",685306
"226",6,79,"California","San Luis Obispo County",269637
"227",6,81,"California","San Mateo County",718451
"228",6,83,"California","Santa Barbara County",423895
"229",6,85,"California","Santa Clara County",1781642
"230",6,87,"California","Santa Cruz County",262382
"231",6,89,"California","Shasta County",177223
"232",6,91,"California","Sierra County",3240
