"","STATE","STNAME","RACE","ESTIMATE","MR","EOC"
"1",1,"Alabama","AIC",64053,68357,6.5
"2",1,"Alabama","A",50769,55240,8.44
"3",2,"Alaska","AIC",45415,50943,11.47
"4",2,"Alaska","A",35904,38882,7.96
"5",4,"Arizona","AIC",218984,241989,9.98
"6",4,"Arizona","A",175991,188456,6.84
"7",5,"Arkansas","AIC",43459,46059,5.81
"8",5,"Arkansas","A",34756,37537,7.69
"9",6,"California","AIC",5284379,5707070,7.69
"10",6,"California","A",4778030,5038123,5.3
"11",8,"Colorado","AIC",176527,190738,7.74
"12",8,"Colorado","A",140275,144819,3.19
"13",9,"Connecticut","AIC",145600,160290,9.6
"14",9,"Connecticut","A",130910,140516,7.08
"15",10,"Delaware","AIC",30974,34074,9.53
"16",10,"Delaware","A",27335,29342,7.08
"17",11,"District of Columbia","AIC",23932,27369,13.4
"18",11,"District of Columbia","A",20472,21705,5.85
"19",12,"Florida","AIC",556384,583371,4.74
"20",12,"Florida","A",456287,474199,3.85
"21",13,"Georgia","AIC",344113,370850,7.48
"22",13,"Georgia","A",299290,323459,7.76
"23",15,"Hawaii","AIC",699107,785488,11.64
"24",15,"Hawaii","A",501789,531633,5.78
"25",16,"Idaho","AIC",28521,30625,7.11
"26",16,"Idaho","A",18779,20034,6.47
"27",17,"Illinois","AIC",636328,677988,6.34
"28",17,"Illinois","A",574819,604399,5.02
"29",18,"Indiana","AIC",115587,128724,10.75
"30",18,"Indiana","A",96255,105535,9.2
"31",19,"Iowa","AIC",61336,65154,6.04
"32",19,"Iowa","A",52058,54232,4.09
"33",20,"Kansas","AIC",77562,85333,9.54
"34",20,"Kansas","A",65900,69628,5.5
"35",21,"Kentucky","AIC",58005,62861,8.04
"36",21,"Kentucky","A",47337,50177,5.82
"37",22,"Louisiana","AIC",83306,85574,2.69
"38",22,"Louisiana","A",68187,71829,5.2
"39",23,"Maine","AIC",17193,18445,7.03
"40",23,"Maine","A",13167,13783,4.57
"41",24,"Maryland","AIC",342282,374792,9.07
"42",24,"Maryland","A",306587,326655,6.34
"43",25,"Massachusetts","AIC",376256,401116,6.4
"44",25,"Massachusetts","A",344307,359673,4.37
"45",26,"Michigan","AIC",281060,291771,3.74
"46",26,"Michigan","A",243574,243062,-0.21
"47",27,"Minnesota","AIC",228460,249091,8.64
"48",27,"Minnesota","A",203095,217792,6.98
"49",28,"Mississippi","AIC",35153,33135,-5.91
"50",28,"Mississippi","A",26388,26477,0.34
"51",29,"Missouri","AIC",113639,124855,9.41
"52",29,"Missouri","A",92722,100213,7.77
"53",30,"Montana","AIC",10744,10604,-1.31
"54",30,"Montana","A",6915,6379,-8.06
"55",31,"Nebraska","AIC",38327,41512,7.98
"56",31,"Nebraska","A",31235,33322,6.47
"57",32,"Nevada","AIC",215346,250269,15
"58",32,"Nevada","A",180300,203478,12.08
"59",33,"New Hampshire","AIC",31141,34804,11.11
"60",33,"New Hampshire","A",26307,28933,9.51
"61",34,"New Jersey","AIC",751053,805067,6.94
"62",34,"New Jersey","A",701541,746212,6.17
"63",35,"New Mexico","AIC",40385,43068,6.43
"64",35,"New Mexico","A",29747,31253,4.94
"65",36,"New York","AIC",1532911,1619081,5.47
"66",36,"New York","A",1415068,1481555,4.59
"67",37,"North Carolina","AIC",234261,258205,9.72
"68",37,"North Carolina","A",198414,215952,8.46
"69",38,"North Dakota","AIC",7820,9281,17.09
"70",38,"North Dakota","A",5660,7032,21.62
"71",39,"Ohio","AIC",222542,240440,7.73
"72",39,"Ohio","A",188257,196693,4.38
"73",40,"Oklahoma","AIC",80208,85943,6.9
"74",40,"Oklahoma","A",63986,67126,4.79
"75",41,"Oregon","AIC",181700,190238,4.59
"76",41,"Oregon","A",146709,145009,-1.17
"77",42,"Pennsylvania","AIC",365193,408061,11.09
"78",42,"Pennsylvania","A",327782,358195,8.87
"79",44,"Rhode Island","AIC",34916,37799,7.93
"80",44,"Rhode Island","A",30185,31768,5.11
"81",45,"South Carolina","AIC",77677,77232,-0.57
"82",45,"South Carolina","A",62252,61247,-1.63
"83",46,"South Dakota","AIC",10244,10323,0.77
"84",46,"South Dakota","A",7527,7775,3.24
"85",47,"Tennessee","AIC",110078,115280,4.62
"86",47,"Tennessee","A",90297,93897,3.91
"87",48,"Texas","AIC",1037308,1134631,8.96
"88",48,"Texas","A",913280,1000473,9.11
"89",49,"Utah","AIC",79410,80037,0.79
"90",49,"Utah","A",59070,57800,-2.17
"91",50,"Vermont","AIC",9307,10530,12.33
"92",50,"Vermont","A",7427,8069,8.29
"93",51,"Virginia","AIC",470846,527994,11.44
"94",51,"Virginia","A",410755,449149,8.93
"95",53,"Washington","AIC",572889,613537,6.85
"96",53,"Washington","A",478665,491685,2.68
"97",54,"West Virginia","AIC",16203,16556,2.16
"98",54,"West Virginia","A",12666,12637,-0.23
"99",55,"Wisconsin","AIC",142862,153050,6.89
"100",55,"Wisconsin","A",124263,131828,5.91
"101",56,"Wyoming","AIC",7012,6903,-1.57
"102",56,"Wyoming","A",4819,4649,-3.59
