"","STATE","STNAME","AGEGRP","RACE","ESTIMATE","MR","EOC"
"1",1,"Alabama","1","A",3994,3745,-6.43
"2",1,"Alabama","1","AIC",5993,5839,-2.6
"3",1,"Alabama","2","A",3761,4055,7.52
"4",1,"Alabama","2","AIC",5618,5669,0.9
"5",1,"Alabama","3","A",3460,3621,4.55
"6",1,"Alabama","3","AIC",5116,5078,-0.75
"7",1,"Alabama","4","A",3114,3564,13.48
"8",1,"Alabama","4","AIC",4464,4837,8.02
"9",1,"Alabama","5","A",3920,4732,18.77
"10",1,"Alabama","5","AIC",5215,5951,13.18
"11",1,"Alabama","6","A",4180,5209,21.92
"12",1,"Alabama","6","AIC",5171,6332,20.19
"13",1,"Alabama","7","A",4122,5040,20.04
"14",1,"Alabama","7","AIC",4920,6022,20.14
"15",1,"Alabama","8","A",4816,5252,8.66
"16",1,"Alabama","8","AIC",5441,6020,10.1
"17",1,"Alabama","9","A",4178,4585,9.29
"18",1,"Alabama","9","AIC",4695,5110,8.47
"19",1,"Alabama","10","A",3712,3911,5.22
"20",1,"Alabama","10","AIC",4182,4431,5.78
"21",1,"Alabama","11","A",3066,3285,6.9
"22",1,"Alabama","11","AIC",3493,3766,7.52
"23",1,"Alabama","12","A",2642,2751,4.04
"24",1,"Alabama","12","AIC",3007,3123,3.78
"25",1,"Alabama","13","A",2137,2158,0.98
"26",1,"Alabama","13","AIC",2389,2377,-0.5
"27",1,"Alabama","14","A",1332,1407,5.48
"28",1,"Alabama","14","AIC",1560,1567,0.45
"29",1,"Alabama","15","A",947,885,-6.77
"30",1,"Alabama","15","AIC",1096,1003,-8.86
"31",1,"Alabama","16","A",700,591,-16.89
"32",1,"Alabama","16","AIC",821,666,-20.85
"33",1,"Alabama","17","A",440,306,-35.92
"34",1,"Alabama","17","AIC",528,375,-33.89
"35",1,"Alabama","18","A",248,143,-53.71
"36",1,"Alabama","18","AIC",344,191,-57.2
"37",2,"Alaska","1","A",2626,2450,-6.93
"38",2,"Alaska","1","AIC",4186,4707,11.72
"39",2,"Alaska","2","A",2779,2785,0.22
"40",2,"Alaska","2","AIC",4118,4645,12.03
"41",2,"Alaska","3","A",2484,2932,16.54
"42",2,"Alaska","3","AIC",3820,4540,17.22
"43",2,"Alaska","4","A",2387,3030,23.74
"44",2,"Alaska","4","AIC",3395,4346,24.57
"45",2,"Alaska","5","A",2604,2898,10.69
"46",2,"Alaska","5","AIC",3504,3968,12.42
"47",2,"Alaska","6","A",2849,2886,1.29
"48",2,"Alaska","6","AIC",3614,3766,4.12
"49",2,"Alaska","7","A",2610,2546,-2.48
"50",2,"Alaska","7","AIC",3162,3288,3.91
"51",2,"Alaska","8","A",2682,2886,7.33
"52",2,"Alaska","8","AIC",3138,3457,9.67
"53",2,"Alaska","9","A",2539,2946,14.84
"54",2,"Alaska","9","AIC",2895,3398,15.99
"55",2,"Alaska","10","A",2706,3117,14.12
"56",2,"Alaska","10","AIC",3074,3488,12.62
"57",2,"Alaska","11","A",2538,2933,14.44
"58",2,"Alaska","11","AIC",2861,3275,13.49
"59",2,"Alaska","12","A",2066,2543,20.7
"60",2,"Alaska","12","AIC",2281,2784,19.86
"61",2,"Alaska","13","A",1768,1915,7.98
"62",2,"Alaska","13","AIC",1872,2062,9.66
"63",2,"Alaska","14","A",1224,1154,-5.89
"64",2,"Alaska","14","AIC",1301,1236,-5.12
"65",2,"Alaska","15","A",710,773,8.5
"66",2,"Alaska","15","AIC",757,826,8.72
"67",2,"Alaska","16","A",562,512,-9.31
"68",2,"Alaska","16","AIC",603,551,-9.01
"69",2,"Alaska","17","A",420,363,-14.56
"70",2,"Alaska","17","AIC",466,376,-21.38
"71",2,"Alaska","18","A",350,213,-48.67
"72",2,"Alaska","18","AIC",368,230,-46.15
"73",4,"Arizona","1","A",13242,12977,-2.02
"74",4,"Arizona","1","AIC",20355,21537,5.64
"75",4,"Arizona","2","A",13991,12986,-7.45
"76",4,"Arizona","2","AIC",20842,20525,-1.53
"77",4,"Arizona","3","A",11028,11998,8.43
"78",4,"Arizona","3","AIC",16190,18442,13.01
"79",4,"Arizona","4","A",9784,12277,22.6
"80",4,"Arizona","4","AIC",13750,17935,26.42
"81",4,"Arizona","5","A",9690,13937,35.95
"82",4,"Arizona","5","AIC",13132,18790,35.45
"83",4,"Arizona","6","A",13892,16822,19.08
"84",4,"Arizona","6","AIC",17409,21071,19.03
"85",4,"Arizona","7","A",16682,17371,4.05
"86",4,"Arizona","7","AIC",19707,21117,6.91
"87",4,"Arizona","8","A",17870,18437,3.12
"88",4,"Arizona","8","AIC",20340,21635,6.17
"89",4,"Arizona","9","A",14915,15327,2.72
"90",4,"Arizona","9","AIC",16808,17597,4.59
"91",4,"Arizona","10","A",12649,13380,5.62
"92",4,"Arizona","10","AIC",14174,15381,8.17
"93",4,"Arizona","11","A",10734,11466,6.59
"94",4,"Arizona","11","AIC",12002,13065,8.48
"95",4,"Arizona","12","A",8944,9423,5.22
"96",4,"Arizona","12","AIC",9838,10602,7.48
"97",4,"Arizona","13","A",7427,7667,3.18
"98",4,"Arizona","13","AIC",8039,8486,5.41
"99",4,"Arizona","14","A",5331,5319,-0.23
"100",4,"Arizona","14","AIC",5778,5846,1.17
"101",4,"Arizona","15","A",3938,3944,0.15
"102",4,"Arizona","15","AIC",4252,4322,1.63
"103",4,"Arizona","16","A",2783,2633,-5.54
"104",4,"Arizona","16","AIC",2984,2904,-2.72
"105",4,"Arizona","17","A",1694,1464,-14.57
"106",4,"Arizona","17","AIC",1822,1609,-12.42
"107",4,"Arizona","18","A",1397,1028,-30.43
"108",4,"Arizona","18","AIC",1562,1125,-32.53
"109",5,"Arkansas","1","A",3133,2785,-11.76
"110",5,"Arkansas","1","AIC",4531,4275,-5.81
"111",5,"Arkansas","2","A",2896,2833,-2.2
"112",5,"Arkansas","2","AIC",4538,4060,-11.12
"113",5,"Arkansas","3","A",2099,2428,14.54
"114",5,"Arkansas","3","AIC",3141,3377,7.24
"115",5,"Arkansas","4","A",2161,2708,22.47
"116",5,"Arkansas","4","AIC",3005,3578,17.41
"117",5,"Arkansas","5","A",2291,3453,40.46
"118",5,"Arkansas","5","AIC",3025,4355,36.04
"119",5,"Arkansas","6","A",3046,3871,23.85
"120",5,"Arkansas","6","AIC",3647,4511,21.18
"121",5,"Arkansas","7","A",3226,3622,11.57
"122",5,"Arkansas","7","AIC",3765,4197,10.85
"123",5,"Arkansas","8","A",3294,3322,0.85
"124",5,"Arkansas","8","AIC",3627,3770,3.87
"125",5,"Arkansas","9","A",2793,2789,-0.14
"126",5,"Arkansas","9","AIC",3076,3086,0.32
"127",5,"Arkansas","10","A",2323,2361,1.62
"128",5,"Arkansas","10","AIC",2610,2626,0.61
"129",5,"Arkansas","11","A",2106,2172,3.09
"130",5,"Arkansas","11","AIC",2343,2416,3.07
"131",5,"Arkansas","12","A",1768,1829,3.39
"132",5,"Arkansas","12","AIC",1976,2007,1.56
"133",5,"Arkansas","13","A",1299,1324,1.91
"134",5,"Arkansas","13","AIC",1462,1489,1.83
"135",5,"Arkansas","14","A",906,827,-9.12
"136",5,"Arkansas","14","AIC",1011,917,-9.75
"137",5,"Arkansas","15","A",624,517,-18.76
"138",5,"Arkansas","15","AIC",725,594,-19.86
"139",5,"Arkansas","16","A",381,357,-6.5
"140",5,"Arkansas","16","AIC",455,392,-14.88
"141",5,"Arkansas","17","A",254,209,-19.44
"142",5,"Arkansas","17","AIC",304,246,-21.09
"143",5,"Arkansas","18","A",156,130,-18.18
"144",5,"Arkansas","18","AIC",218,163,-28.87
"145",6,"California","1","A",295013,283840,-3.86
"146",6,"California","1","AIC",376824,387189,2.71
"147",6,"California","2","A",289379,290530,0.4
"148",6,"California","2","AIC",361038,379498,4.99
"149",6,"California","3","A",266829,294384,9.82
"150",6,"California","3","AIC",323570,372607,14.09
"151",6,"California","4","A",285602,333420,15.45
"152",6,"California","4","AIC",334912,405356,19.03
"153",6,"California","5","A",289742,363189,22.5
"154",6,"California","5","AIC",332586,422170,23.74
"155",6,"California","6","A",359263,387605,7.59
"156",6,"California","6","AIC",398075,439040,9.79
"157",6,"California","7","A",397415,388420,-2.29
"158",6,"California","7","AIC",429144,431064,0.45
"159",6,"California","8","A",402690,417740,3.67
"160",6,"California","8","AIC",429695,452983,5.28
"161",6,"California","9","A",375181,388766,3.56
"162",6,"California","9","AIC",399188,419434,4.95
"163",6,"California","10","A",361000,381698,5.57
"164",6,"California","10","AIC",382963,410667,6.98
"165",6,"California","11","A",339928,361716,6.21
"166",6,"California","11","AIC",358878,386525,7.42
"167",6,"California","12","A",301126,318234,5.52
"168",6,"California","12","AIC",314316,335452,6.51
"169",6,"California","13","A",246668,259014,4.88
"170",6,"California","13","AIC",255847,271043,5.77
"171",6,"California","14","A",169021,177830,5.08
"172",6,"California","14","AIC",175169,185707,5.84
"173",6,"California","15","A",135941,141735,4.17
"174",6,"California","15","AIC",140638,147729,4.92
"175",6,"California","16","A",106458,108036,1.47
"176",6,"California","16","AIC",110185,112782,2.33
"177",6,"California","17","A",79875,76705,-4.05
"178",6,"California","17","AIC",82408,79926,-3.06
"179",6,"California","18","A",76899,65261,-16.37
"180",6,"California","18","AIC",78943,67898,-15.04
"181",8,"Colorado","1","A",10765,9477,-12.73
"182",8,"Colorado","1","AIC",16680,17510,4.86
"183",8,"Colorado","2","A",11096,10911,-1.68
"184",8,"Colorado","2","AIC",16398,17768,8.02
"185",8,"Colorado","3","A",9156,9849,7.29
"186",8,"Colorado","3","AIC",13556,15467,13.17
"187",8,"Colorado","4","A",8488,9214,8.2
"188",8,"Colorado","4","AIC",12189,14041,14.12
"189",8,"Colorado","5","A",9542,10737,11.79
"190",8,"Colorado","5","AIC",13018,14889,13.41
"191",8,"Colorado","6","A",11237,12629,11.67
"192",8,"Colorado","6","AIC",14179,16236,13.53
"193",8,"Colorado","7","A",12636,12708,0.57
"194",8,"Colorado","7","AIC",14994,15846,5.53
"195",8,"Colorado","8","A",14136,13895,-1.72
