"","FIPS","STNAME","CTYNAME","RACE","ESTIM","MR","NUM_DIFF","PERC_DIFF","COVERAGE"
"1",1001,"Alabama","Autauga County","A_A",657,878,221,28.79,"overcount"
"2",1001,"Alabama","Autauga County","A_AIC",969,1317,348,30.45,"overcount"
"3",1001,"Alabama","Autauga County","NHPI_A",61,25,-36,-83.72,"undercount"
"4",1001,"Alabama","Autauga County","NHPI_AIC",101,96,-5,-5.08,"undercount"
"5",1003,"Alabama","Baldwin County","A_A",2529,2042,-487,-21.31,"undercount"
"6",1003,"Alabama","Baldwin County","A_AIC",3573,3376,-197,-5.67,"undercount"
"7",1003,"Alabama","Baldwin County","NHPI_A",152,125,-27,-19.49,"undercount"
"8",1003,"Alabama","Baldwin County","NHPI_AIC",375,333,-42,-11.86,"undercount"
"9",1005,"Alabama","Barbour County","A_A",112,104,-8,-7.41,"undercount"
"10",1005,"Alabama","Barbour County","A_AIC",155,136,-19,-13.06,"undercount"
"11",1005,"Alabama","Barbour County","NHPI_A",50,0,-50,-200,"undercount"
"12",1005,"Alabama","Barbour County","NHPI_AIC",65,11,-54,-142.11,"undercount"
"13",1007,"Alabama","Bibb County","A_A",57,26,-31,-74.7,"undercount"
"14",1007,"Alabama","Bibb County","A_AIC",106,45,-61,-80.79,"undercount"
"15",1007,"Alabama","Bibb County","NHPI_A",27,9,-18,-100,"undercount"
"16",1007,"Alabama","Bibb County","NHPI_AIC",43,14,-29,-101.75,"undercount"
"17",1009,"Alabama","Blount County","A_A",220,174,-46,-23.35,"undercount"
"18",1009,"Alabama","Blount County","A_AIC",358,344,-14,-3.99,"undercount"
"19",1009,"Alabama","Blount County","NHPI_A",70,11,-59,-145.68,"undercount"
"20",1009,"Alabama","Blount County","NHPI_AIC",94,43,-51,-74.45,"undercount"
"21",1011,"Alabama","Bullock County","A_A",27,12,-15,-76.92,"undercount"
"22",1011,"Alabama","Bullock County","A_AIC",51,24,-27,-72,"undercount"
"23",1011,"Alabama","Bullock County","NHPI_A",76,7,-69,-166.27,"undercount"
"24",1011,"Alabama","Bullock County","NHPI_AIC",79,14,-65,-139.78,"undercount"
"25",1013,"Alabama","Butler County","A_A",266,143,-123,-60.15,"undercount"
"26",1013,"Alabama","Butler County","A_AIC",296,194,-102,-41.63,"undercount"
"27",1013,"Alabama","Butler County","NHPI_A",8,5,-3,-46.15,"undercount"
"28",1013,"Alabama","Butler County","NHPI_AIC",21,24,3,13.33,"overcount"
"29",1015,"Alabama","Calhoun County","A_A",1002,1164,162,14.96,"overcount"
"30",1015,"Alabama","Calhoun County","A_AIC",1544,1687,143,8.85,"overcount"
"31",1015,"Alabama","Calhoun County","NHPI_A",127,118,-9,-7.35,"undercount"
"32",1015,"Alabama","Calhoun County","NHPI_AIC",270,222,-48,-19.51,"undercount"
"33",1017,"Alabama","Chambers County","A_A",377,385,8,2.1,"overcount"
"34",1017,"Alabama","Chambers County","A_AIC",431,465,34,7.59,"overcount"
"35",1017,"Alabama","Chambers County","NHPI_A",19,11,-8,-53.33,"undercount"
"36",1017,"Alabama","Chambers County","NHPI_AIC",27,33,6,20,"overcount"
"37",1019,"Alabama","Cherokee County","A_A",124,57,-67,-74.03,"undercount"
"38",1019,"Alabama","Cherokee County","A_AIC",165,83,-82,-66.13,"undercount"
"39",1019,"Alabama","Cherokee County","NHPI_A",8,1,-7,-155.56,"undercount"
"40",1019,"Alabama","Cherokee County","NHPI_AIC",19,24,5,23.26,"overcount"
"41",1021,"Alabama","Chilton County","A_A",213,176,-37,-19.02,"undercount"
"42",1021,"Alabama","Chilton County","A_AIC",302,249,-53,-19.24,"undercount"
"43",1021,"Alabama","Chilton County","NHPI_A",77,5,-72,-175.61,"undercount"
"44",1021,"Alabama","Chilton County","NHPI_AIC",101,20,-81,-133.88,"undercount"
"45",1023,"Alabama","Choctaw County","A_A",30,19,-11,-44.9,"undercount"
"46",1023,"Alabama","Choctaw County","A_AIC",48,43,-5,-10.99,"undercount"
"47",1023,"Alabama","Choctaw County","NHPI_A",0,0,0,0,"equal"
"48",1023,"Alabama","Choctaw County","NHPI_AIC",6,4,-2,-40,"undercount"
"49",1025,"Alabama","Clarke County","A_A",102,91,-11,-11.4,"undercount"
"50",1025,"Alabama","Clarke County","A_AIC",147,132,-15,-10.75,"undercount"
"51",1025,"Alabama","Clarke County","NHPI_A",5,1,-4,-133.33,"undercount"
"52",1025,"Alabama","Clarke County","NHPI_AIC",15,8,-7,-60.87,"undercount"
"53",1027,"Alabama","Clay County","A_A",39,46,7,16.47,"overcount"
"54",1027,"Alabama","Clay County","A_AIC",65,73,8,11.59,"overcount"
"55",1027,"Alabama","Clay County","NHPI_A",0,4,4,200,"overcount"
"56",1027,"Alabama","Clay County","NHPI_AIC",11,16,5,37.04,"overcount"
"57",1029,"Alabama","Cleburne County","A_A",29,22,-7,-27.45,"undercount"
"58",1029,"Alabama","Cleburne County","A_AIC",52,48,-4,-8,"undercount"
"59",1029,"Alabama","Cleburne County","NHPI_A",11,2,-9,-138.46,"undercount"
"60",1029,"Alabama","Cleburne County","NHPI_AIC",23,14,-9,-48.65,"undercount"
"61",1031,"Alabama","Coffee County","A_A",892,922,30,3.31,"overcount"
"62",1031,"Alabama","Coffee County","A_AIC",1360,1423,63,4.53,"overcount"
"63",1031,"Alabama","Coffee County","NHPI_A",220,57,-163,-117.69,"undercount"
"64",1031,"Alabama","Coffee County","NHPI_AIC",344,168,-176,-68.75,"undercount"
"65",1033,"Alabama","Colbert County","A_A",383,432,49,12.02,"overcount"
"66",1033,"Alabama","Colbert County","A_AIC",501,563,62,11.65,"overcount"
"67",1033,"Alabama","Colbert County","NHPI_A",37,9,-28,-121.74,"undercount"
"68",1033,"Alabama","Colbert County","NHPI_AIC",71,28,-43,-86.87,"undercount"
"69",1035,"Alabama","Conecuh County","A_A",32,37,5,14.49,"overcount"
"70",1035,"Alabama","Conecuh County","A_AIC",60,59,-1,-1.68,"undercount"
"71",1035,"Alabama","Conecuh County","NHPI_A",4,5,1,22.22,"overcount"
"72",1035,"Alabama","Conecuh County","NHPI_AIC",16,19,3,17.14,"overcount"
"73",1037,"Alabama","Coosa County","A_A",21,8,-13,-89.66,"undercount"
"74",1037,"Alabama","Coosa County","A_AIC",43,22,-21,-64.62,"undercount"
"75",1037,"Alabama","Coosa County","NHPI_A",18,0,-18,-200,"undercount"
"76",1037,"Alabama","Coosa County","NHPI_AIC",30,8,-22,-115.79,"undercount"
"77",1039,"Alabama","Covington County","A_A",188,246,58,26.73,"overcount"
"78",1039,"Alabama","Covington County","A_AIC",242,322,80,28.37,"overcount"
"79",1039,"Alabama","Covington County","NHPI_A",4,1,-3,-120,"undercount"
"80",1039,"Alabama","Covington County","NHPI_AIC",23,18,-5,-24.39,"undercount"
"81",1041,"Alabama","Crenshaw County","A_A",163,87,-76,-60.8,"undercount"
"82",1041,"Alabama","Crenshaw County","A_AIC",187,110,-77,-51.85,"undercount"
"83",1041,"Alabama","Crenshaw County","NHPI_A",6,2,-4,-100,"undercount"
"84",1041,"Alabama","Crenshaw County","NHPI_AIC",10,13,3,26.09,"overcount"
"85",1043,"Alabama","Cullman County","A_A",560,524,-36,-6.64,"undercount"
"86",1043,"Alabama","Cullman County","A_AIC",719,739,20,2.74,"overcount"
"87",1043,"Alabama","Cullman County","NHPI_A",72,64,-8,-11.76,"undercount"
"88",1043,"Alabama","Cullman County","NHPI_AIC",109,136,27,22.04,"overcount"
"89",1045,"Alabama","Dale County","A_A",706,659,-47,-6.89,"undercount"
"90",1045,"Alabama","Dale County","A_AIC",1056,1011,-45,-4.35,"undercount"
"91",1045,"Alabama","Dale County","NHPI_A",88,42,-46,-70.77,"undercount"
"92",1045,"Alabama","Dale County","NHPI_AIC",181,142,-39,-24.15,"undercount"
"93",1047,"Alabama","Dallas County","A_A",193,148,-45,-26.39,"undercount"
"94",1047,"Alabama","Dallas County","A_AIC",250,167,-83,-39.81,"undercount"
"95",1047,"Alabama","Dallas County","NHPI_A",16,12,-4,-28.57,"undercount"
"96",1047,"Alabama","Dallas County","NHPI_AIC",34,35,1,2.9,"overcount"
"97",1049,"Alabama","DeKalb County","A_A",371,237,-134,-44.08,"undercount"
"98",1049,"Alabama","DeKalb County","A_AIC",507,376,-131,-29.67,"undercount"
