"","FIPS","STNAME","CTYNAME","population"
"1",1001,"Alabama","Autauga County",58805
"2",1003,"Alabama","Baldwin County",231767
"3",1005,"Alabama","Barbour County",25223
"4",1007,"Alabama","Bibb County",22293
"5",1009,"Alabama","Blount County",59134
"6",1011,"Alabama","Bullock County",10357
"7",1013,"Alabama","Butler County",19051
"8",1015,"Alabama","Calhoun County",116441
"9",1017,"Alabama","Chambers County",34772
"10",1019,"Alabama","Cherokee County",24971
"11",1021,"Alabama","Chilton County",45014
"12",1023,"Alabama","Choctaw County",12665
"13",1025,"Alabama","Clarke County",23087
"14",1027,"Alabama","Clay County",14236
"15",1029,"Alabama","Cleburne County",15056
"16",1031,"Alabama","Coffee County",53465
"17",1033,"Alabama","Colbert County",57227
"18",1035,"Alabama","Conecuh County",11597
"19",1037,"Alabama","Coosa County",10387
"20",1039,"Alabama","Covington County",37570
"21",1041,"Alabama","Crenshaw County",13194
"22",1043,"Alabama","Cullman County",87866
"23",1045,"Alabama","Dale County",49326
"24",1047,"Alabama","Dallas County",38462
"25",1049,"Alabama","DeKalb County",71608
"26",1051,"Alabama","Elmore County",87977
"27",1053,"Alabama","Escambia County",36757
"28",1055,"Alabama","Etowah County",103436
"29",1057,"Alabama","Fayette County",16321
"30",1059,"Alabama","Franklin County",32113
"31",1061,"Alabama","Geneva County",26659
"32",1063,"Alabama","Greene County",7730
"33",1065,"Alabama","Hale County",14785
"34",1067,"Alabama","Henry County",17146
"35",1069,"Alabama","Houston County",107202
"36",1071,"Alabama","Jackson County",52579
"37",1073,"Alabama","Jefferson County",674721
"38",1075,"Alabama","Lamar County",13972
"39",1077,"Alabama","Lauderdale County",93564
"40",1079,"Alabama","Lawrence County",33073
"41",1081,"Alabama","Lee County",174241
"42",1083,"Alabama","Limestone County",103570
"43",1085,"Alabama","Lowndes County",10311
"44",1087,"Alabama","Macon County",19532
"45",1089,"Alabama","Madison County",388153
"46",1091,"Alabama","Marengo County",19323
"47",1093,"Alabama","Marion County",29341
"48",1095,"Alabama","Marshall County",97612
"49",1097,"Alabama","Mobile County",414809
"50",1099,"Alabama","Monroe County",19772
"51",1101,"Alabama","Montgomery County",228954
"52",1103,"Alabama","Morgan County",123421
"53",1105,"Alabama","Perry County",8511
"54",1107,"Alabama","Pickens County",19123
"55",1109,"Alabama","Pike County",33009
"56",1111,"Alabama","Randolph County",21967
"57",1113,"Alabama","Russell County",59183
"58",1115,"Alabama","St. Clair County",91103
"59",1117,"Alabama","Shelby County",223024
"60",1119,"Alabama","Sumter County",12345
"61",1121,"Alabama","Talladega County",82149
"62",1123,"Alabama","Tallapoosa County",41311
"63",1125,"Alabama","Tuscaloosa County",227036
"64",1127,"Alabama","Walker County",65342
"65",1129,"Alabama","Washington County",15388
"66",1131,"Alabama","Wilcox County",10600
"67",1133,"Alabama","Winston County",23540
"68",2013,"Alaska","Aleutians East Borough",3420
"69",2016,"Alaska","Aleutians West Census Area",5232
"70",2020,"Alaska","Anchorage Municipality",291247
"71",2050,"Alaska","Bethel Census Area",18666
"72",2060,"Alaska","Bristol Bay Borough",844
"73",2063,"Alaska","Chugach Census Area",7102
"74",2066,"Alaska","Copper River Census Area",2617
"75",2068,"Alaska","Denali Borough",1619
"76",2070,"Alaska","Dillingham Census Area",4857
"77",2090,"Alaska","Fairbanks North Star Borough",95655
"78",2100,"Alaska","Haines Borough",2080
"79",2105,"Alaska","Hoonah-Angoon Census Area",2365
"80",2110,"Alaska","Juneau City and Borough",32255
"81",2122,"Alaska","Kenai Peninsula Borough",58799
"82",2130,"Alaska","Ketchikan Gateway Borough",13948
"83",2150,"Alaska","Kodiak Island Borough",13101
"84",2158,"Alaska","Kusilvak Census Area",8368
"85",2164,"Alaska","Lake and Peninsula Borough",1476
"86",2170,"Alaska","Matanuska-Susitna Borough",107081
"87",2180,"Alaska","Nome Census Area",10046
"88",2185,"Alaska","North Slope Borough",11031
"89",2188,"Alaska","Northwest Arctic Borough",7793
"90",2195,"Alaska","Petersburg Borough",3398
"91",2198,"Alaska","Prince of Wales-Hyder Census Area",5753
"92",2220,"Alaska","Sitka City and Borough",8458
"93",2230,"Alaska","Skagway Municipality",1240
"94",2240,"Alaska","Southeast Fairbanks Census Area",6808
"95",2275,"Alaska","Wrangell City and Borough",2127
"96",2282,"Alaska","Yakutat City and Borough",662
"97",2290,"Alaska","Yukon-Koyukuk Census Area",5343
"98",4001,"Arizona","Apache County",66021
"99",4003,"Arizona","Cochise County",125447
"100",4005,"Arizona","Coconino County",145101
"101",4007,"Arizona","Gila County",53272
"102",4009,"Arizona","Graham County",38533
"103",4011,"Arizona","Greenlee County",9563
"104",4012,"Arizona","La Paz County",16557
"105",4013,"Arizona","Maricopa County",4420568
"106",4015,"Arizona","Mohave County",213267
"107",4017,"Arizona","Navajo County",106717
"108",4019,"Arizona","Pima County",1043433
"109",4021,"Arizona","Pinal County",425264
"110",4023,"Arizona","Santa Cruz County",47669
"111",4025,"Arizona","Yavapai County",236209
"112",4027,"Arizona","Yuma County",203881
"113",5001,"Arkansas","Arkansas County",17149
"114",5003,"Arkansas","Ashley County",19062
"115",5005,"Arkansas","Baxter County",41627
"116",5007,"Arkansas","Benton County",284333
"117",5009,"Arkansas","Boone County",37373
"118",5011,"Arkansas","Bradley County",10545
"119",5013,"Arkansas","Calhoun County",4739
"120",5015,"Arkansas","Carroll County",28260
"121",5017,"Arkansas","Chicot County",10208
"122",5019,"Arkansas","Clark County",21446
"123",5021,"Arkansas","Clay County",14552
"124",5023,"Arkansas","Cleburne County",24711
"125",5025,"Arkansas","Cleveland County",7550
"126",5027,"Arkansas","Columbia County",22801
