"","FIPS","STNAME","CTYNAME","RACE","MR"
"1",1001,"Alabama","Autauga County","A_A",878
"2",1001,"Alabama","Autauga County","A_AIC",1317
"3",1001,"Alabama","Autauga County","NHPI_A",25
"4",1001,"Alabama","Autauga County","NHPI_AIC",96
"5",1003,"Alabama","Baldwin County","A_A",2042
"6",1003,"Alabama","Baldwin County","A_AIC",3376
"7",1003,"Alabama","Baldwin County","NHPI_A",125
"8",1003,"Alabama","Baldwin County","NHPI_AIC",333
"9",1005,"Alabama","Barbour County","A_A",104
"10",1005,"Alabama","Barbour County","A_AIC",136
"11",1005,"Alabama","Barbour County","NHPI_A",0
"12",1005,"Alabama","Barbour County","NHPI_AIC",11
"13",1007,"Alabama","Bibb County","A_A",26
"14",1007,"Alabama","Bibb County","A_AIC",45
"15",1007,"Alabama","Bibb County","NHPI_A",9
"16",1007,"Alabama","Bibb County","NHPI_AIC",14
"17",1009,"Alabama","Blount County","A_A",174
"18",1009,"Alabama","Blount County","A_AIC",344
"19",1009,"Alabama","Blount County","NHPI_A",11
"20",1009,"Alabama","Blount County","NHPI_AIC",43
"21",1011,"Alabama","Bullock County","A_A",12
"22",1011,"Alabama","Bullock County","A_AIC",24
"23",1011,"Alabama","Bullock County","NHPI_A",7
"24",1011,"Alabama","Bullock County","NHPI_AIC",14
"25",1013,"Alabama","Butler County","A_A",143
"26",1013,"Alabama","Butler County","A_AIC",194
"27",1013,"Alabama","Butler County","NHPI_A",5
"28",1013,"Alabama","Butler County","NHPI_AIC",24
"29",1015,"Alabama","Calhoun County","A_A",1164
"30",1015,"Alabama","Calhoun County","A_AIC",1687
"31",1015,"Alabama","Calhoun County","NHPI_A",118
"32",1015,"Alabama","Calhoun County","NHPI_AIC",222
"33",1017,"Alabama","Chambers County","A_A",385
"34",1017,"Alabama","Chambers County","A_AIC",465
"35",1017,"Alabama","Chambers County","NHPI_A",11
"36",1017,"Alabama","Chambers County","NHPI_AIC",33
"37",1019,"Alabama","Cherokee County","A_A",57
"38",1019,"Alabama","Cherokee County","A_AIC",83
"39",1019,"Alabama","Cherokee County","NHPI_A",1
"40",1019,"Alabama","Cherokee County","NHPI_AIC",24
"41",1021,"Alabama","Chilton County","A_A",176
"42",1021,"Alabama","Chilton County","A_AIC",249
"43",1021,"Alabama","Chilton County","NHPI_A",5
"44",1021,"Alabama","Chilton County","NHPI_AIC",20
"45",1023,"Alabama","Choctaw County","A_A",19
"46",1023,"Alabama","Choctaw County","A_AIC",43
"47",1023,"Alabama","Choctaw County","NHPI_A",0
"48",1023,"Alabama","Choctaw County","NHPI_AIC",4
"49",1025,"Alabama","Clarke County","A_A",91
"50",1025,"Alabama","Clarke County","A_AIC",132
"51",1025,"Alabama","Clarke County","NHPI_A",1
"52",1025,"Alabama","Clarke County","NHPI_AIC",8
"53",1027,"Alabama","Clay County","A_A",46
"54",1027,"Alabama","Clay County","A_AIC",73
"55",1027,"Alabama","Clay County","NHPI_A",4
"56",1027,"Alabama","Clay County","NHPI_AIC",16
"57",1029,"Alabama","Cleburne County","A_A",22
"58",1029,"Alabama","Cleburne County","A_AIC",48
"59",1029,"Alabama","Cleburne County","NHPI_A",2
"60",1029,"Alabama","Cleburne County","NHPI_AIC",14
"61",1031,"Alabama","Coffee County","A_A",922
"62",1031,"Alabama","Coffee County","A_AIC",1423
"63",1031,"Alabama","Coffee County","NHPI_A",57
"64",1031,"Alabama","Coffee County","NHPI_AIC",168
"65",1033,"Alabama","Colbert County","A_A",432
"66",1033,"Alabama","Colbert County","A_AIC",563
"67",1033,"Alabama","Colbert County","NHPI_A",9
"68",1033,"Alabama","Colbert County","NHPI_AIC",28
"69",1035,"Alabama","Conecuh County","A_A",37
"70",1035,"Alabama","Conecuh County","A_AIC",59
"71",1035,"Alabama","Conecuh County","NHPI_A",5
"72",1035,"Alabama","Conecuh County","NHPI_AIC",19
"73",1037,"Alabama","Coosa County","A_A",8
"74",1037,"Alabama","Coosa County","A_AIC",22
"75",1037,"Alabama","Coosa County","NHPI_A",0
"76",1037,"Alabama","Coosa County","NHPI_AIC",8
"77",1039,"Alabama","Covington County","A_A",246
"78",1039,"Alabama","Covington County","A_AIC",322
"79",1039,"Alabama","Covington County","NHPI_A",1
"80",1039,"Alabama","Covington County","NHPI_AIC",18
"81",1041,"Alabama","Crenshaw County","A_A",87
"82",1041,"Alabama","Crenshaw County","A_AIC",110
"83",1041,"Alabama","Crenshaw County","NHPI_A",2
"84",1041,"Alabama","Crenshaw County","NHPI_AIC",13
"85",1043,"Alabama","Cullman County","A_A",524
"86",1043,"Alabama","Cullman County","A_AIC",739
"87",1043,"Alabama","Cullman County","NHPI_A",64
"88",1043,"Alabama","Cullman County","NHPI_AIC",136
"89",1045,"Alabama","Dale County","A_A",659
"90",1045,"Alabama","Dale County","A_AIC",1011
"91",1045,"Alabama","Dale County","NHPI_A",42
"92",1045,"Alabama","Dale County","NHPI_AIC",142
"93",1047,"Alabama","Dallas County","A_A",148
"94",1047,"Alabama","Dallas County","A_AIC",167
"95",1047,"Alabama","Dallas County","NHPI_A",12
"96",1047,"Alabama","Dallas County","NHPI_AIC",35
"97",1049,"Alabama","DeKalb County","A_A",237
"98",1049,"Alabama","DeKalb County","A_AIC",376
"99",1049,"Alabama","DeKalb County","NHPI_A",16
"100",1049,"Alabama","DeKalb County","NHPI_AIC",41
"101",1051,"Alabama","Elmore County","A_A",681
"102",1051,"Alabama","Elmore County","A_AIC",1084
"103",1051,"Alabama","Elmore County","NHPI_A",28
"104",1051,"Alabama","Elmore County","NHPI_AIC",84
"105",1053,"Alabama","Escambia County","A_A",108
"106",1053,"Alabama","Escambia County","A_AIC",193
"107",1053,"Alabama","Escambia County","NHPI_A",22
"108",1053,"Alabama","Escambia County","NHPI_AIC",44
"109",1055,"Alabama","Etowah County","A_A",924
"110",1055,"Alabama","Etowah County","A_AIC",1191
