"","STNAME","RACE","ESTIM","MR","NUM_DIFF","PERC_DIFF","COVERAGE"
"1","Alabama","A_A",75551,76641,1090,1.43,"overcount"
"2","Alabama","A_AIC",95798,100647,4849,4.94,"overcount"
"3","Alabama","NHPI_A",5393,2696,-2697,-66.68,"undercount"
"4","Alabama","NHPI_AIC",9238,6498,-2740,-34.82,"undercount"
"5","Alaska","A_A",48557,43935,-4622,-9.99,"undercount"
"6","Alaska","A_AIC",64994,59648,-5346,-8.58,"undercount"
"7","Alaska","NHPI_A",11642,12524,882,7.3,"overcount"
"8","Alaska","NHPI_AIC",16354,17780,1426,8.36,"overcount"
"9","Arizona","A_A",281163,251645,-29518,-11.08,"undercount"
"10","Arizona","A_AIC",364889,325925,-38964,-11.28,"undercount"
"11","Arizona","NHPI_A",20949,14726,-6223,-34.89,"undercount"
"12","Arizona","NHPI_AIC",38903,30874,-8029,-23.01,"undercount"
"13","Arkansas","A_A",53246,51768,-1478,-2.81,"undercount"
"14","Arkansas","A_AIC",66732,66761,29,0.04,"overcount"
"15","Arkansas","NHPI_A",12835,14461,1626,11.91,"overcount"
"16","Arkansas","NHPI_AIC",15626,17252,1626,9.89,"overcount"
"17","California","A_A",6233297,6032733,-200564,-3.27,"undercount"
"18","California","A_AIC",7110097,6778719,-331378,-4.77,"undercount"
"19","California","NHPI_A",203774,144363,-59411,-34.13,"undercount"
"20","California","NHPI_AIC",373777,278435,-95342,-29.24,"undercount"
"21","Colorado","A_A",206907,197432,-9475,-4.69,"undercount"
"22","Colorado","A_AIC",276502,270798,-5704,-2.08,"undercount"
"23","Colorado","NHPI_A",12285,9154,-3131,-29.21,"undercount"
"24","Colorado","NHPI_AIC",24273,20567,-3706,-16.53,"undercount"
"25","Connecticut","A_A",178587,173488,-5099,-2.9,"undercount"
"26","Connecticut","A_AIC",204284,202143,-2141,-1.05,"undercount"
"27","Connecticut","NHPI_A",4106,1211,-2895,-108.9,"undercount"
"28","Connecticut","NHPI_AIC",8502,3865,-4637,-74.99,"undercount"
"29","Delaware","A_A",41543,42842,1299,3.08,"overcount"
"30","Delaware","A_AIC",48634,50245,1611,3.26,"overcount"
"31","Delaware","NHPI_A",1136,359,-777,-103.95,"undercount"
"32","Delaware","NHPI_AIC",2192,1258,-934,-54.14,"undercount"
"33","District of Columbia","A_A",32460,33647,1187,3.59,"overcount"
"34","District of Columbia","A_AIC",40951,44516,3565,8.34,"overcount"
"35","District of Columbia","NHPI_A",1089,352,-737,-102.29,"undercount"
"36","District of Columbia","NHPI_AIC",2085,1139,-946,-58.68,"undercount"
"37","Florida","A_A",654244,645333,-8911,-1.37,"undercount"
"38","Florida","A_AIC",820789,807589,-13200,-1.62,"undercount"
"39","Florida","NHPI_A",25891,13224,-12667,-64.77,"undercount"
"40","Florida","NHPI_AIC",60267,35555,-24712,-51.58,"undercount"
"41","Georgia","A_A",482232,481294,-938,-0.19,"undercount"
"42","Georgia","A_AIC",554925,558153,3228,0.58,"overcount"
"43","Georgia","NHPI_A",14483,6572,-7911,-75.15,"undercount"
"44","Georgia","NHPI_AIC",25993,16083,-9910,-47.11,"undercount"
"45","Hawaii","A_A",522091,533791,11700,2.22,"overcount"
"46","Hawaii","A_AIC",804854,766911,-37943,-4.83,"undercount"
"47","Hawaii","NHPI_A",147408,149949,2541,1.71,"overcount"
"48","Hawaii","NHPI_AIC",388110,345220,-42890,-11.7,"undercount"
"49","Idaho","A_A",29282,26432,-2850,-10.23,"undercount"
"50","Idaho","A_AIC",46709,44613,-2096,-4.59,"undercount"
"51","Idaho","NHPI_A",4112,3460,-652,-17.22,"undercount"
"52","Idaho","NHPI_AIC",8262,8105,-157,-1.92,"undercount"
"53","Illinois","A_A",760289,753130,-7159,-0.95,"undercount"
"54","Illinois","A_AIC",856252,857727,1475,0.17,"overcount"
"55","Illinois","NHPI_A",8513,3233,-5280,-89.9,"undercount"
"56","Illinois","NHPI_AIC",19145,12192,-6953,-44.38,"undercount"
"57","Indiana","A_A",179485,168550,-10935,-6.28,"undercount"
"58","Indiana","A_AIC",213994,209070,-4924,-2.33,"undercount"
"59","Indiana","NHPI_A",4822,2876,-1946,-50.56,"undercount"
"60","Indiana","NHPI_AIC",10242,10661,419,4.01,"overcount"
"61","Iowa","A_A",87400,75787,-11613,-14.23,"undercount"
"62","Iowa","A_AIC",104033,95135,-8898,-8.94,"undercount"
"63","Iowa","NHPI_A",5536,5669,133,2.37,"overcount"
"64","Iowa","NHPI_AIC",8082,9501,1419,16.14,"overcount"
"65","Kansas","A_A",93452,86072,-7380,-8.22,"undercount"
"66","Kansas","A_AIC",115089,109076,-6013,-5.36,"undercount"
"67","Kansas","NHPI_A",3936,3193,-743,-20.84,"undercount"
