"","STNAME","CTYNAME","RACE","MR"
"1","AK","Aleutians East Borough","A_AIC",750
"2","AK","Aleutians East Borough","A_A",721
"3","AK","Aleutians East Borough","NHPI_AIC",13
"4","AK","Aleutians East Borough","NHPI_A",8
"5","AK","Aleutians West Census Area","A_AIC",1429
"6","AK","Aleutians West Census Area","A_A",1353
"7","AK","Aleutians West Census Area","NHPI_AIC",52
"8","AK","Aleutians West Census Area","NHPI_A",34
"9","AK","Anchorage Municipality","A_AIC",18527
"10","AK","Anchorage Municipality","A_A",14813
"11","AK","Anchorage Municipality","NHPI_AIC",3663
"12","AK","Anchorage Municipality","NHPI_A",2506
"13","AK","Bethel Census Area","A_AIC",217
"14","AK","Bethel Census Area","A_A",169
"15","AK","Bethel Census Area","NHPI_AIC",23
"16","AK","Bethel Census Area","NHPI_A",9
"17","AK","Bristol Bay Borough","A_AIC",13
"18","AK","Bristol Bay Borough","A_A",5
"19","AK","Bristol Bay Borough","NHPI_AIC",12
"20","AK","Bristol Bay Borough","NHPI_A",6
"21","AK","Denali Borough","A_AIC",41
"22","AK","Denali Borough","A_A",30
"23","AK","Denali Borough","NHPI_AIC",10
"24","AK","Denali Borough","NHPI_A",7
"25","AK","Dillingham Census Area","A_AIC",63
"26","AK","Dillingham Census Area","A_A",30
"27","AK","Dillingham Census Area","NHPI_AIC",10
"28","AK","Dillingham Census Area","NHPI_A",3
"29","AK","Fairbanks North Star Borough","A_AIC",2710
"30","AK","Fairbanks North Star Borough","A_A",1789
"31","AK","Fairbanks North Star Borough","NHPI_AIC",479
"32","AK","Fairbanks North Star Borough","NHPI_A",250
"33","AK","Haines Borough","A_AIC",26
"34","AK","Haines Borough","A_A",17
"35","AK","Haines Borough","NHPI_AIC",5
"36","AK","Haines Borough","NHPI_A",2
"37","AK","Juneau City and Borough","A_AIC",2068
"38","AK","Juneau City and Borough","A_A",1474
"39","AK","Juneau City and Borough","NHPI_AIC",223
"40","AK","Juneau City and Borough","NHPI_A",116
"41","AK","Kenai Peninsula Borough","A_AIC",810
"42","AK","Kenai Peninsula Borough","A_A",488
"43","AK","Kenai Peninsula Borough","NHPI_AIC",215
"44","AK","Kenai Peninsula Borough","NHPI_A",88
"45","AK","Ketchikan Gateway Borough","A_AIC",746
"46","AK","Ketchikan Gateway Borough","A_A",610
"47","AK","Ketchikan Gateway Borough","NHPI_AIC",62
"48","AK","Ketchikan Gateway Borough","NHPI_A",22
"49","AK","Kodiak Island Borough","A_AIC",2441
"50","AK","Kodiak Island Borough","A_A",2252
"51","AK","Kodiak Island Borough","NHPI_AIC",203
"52","AK","Kodiak Island Borough","NHPI_A",115
"53","AK","Lake and Peninsula Borough","A_AIC",7
"54","AK","Lake and Peninsula Borough","A_A",4
"55","AK","Lake and Peninsula Borough","NHPI_AIC",8
"56","AK","Lake and Peninsula Borough","NHPI_A",7
"57","AK","Matanuska-Susitna Borough","A_AIC",853
"58","AK","Matanuska-Susitna Borough","A_A",429
"59","AK","Matanuska-Susitna Borough","NHPI_AIC",216
"60","AK","Matanuska-Susitna Borough","NHPI_A",80
"61","AK","Nome Census Area","A_AIC",90
"62","AK","Nome Census Area","A_A",62
"63","AK","Nome Census Area","NHPI_AIC",8
"64","AK","Nome Census Area","NHPI_A",2
"65","AK","North Slope Borough","A_AIC",532
"66","AK","North Slope Borough","A_A",438
"67","AK","North Slope Borough","NHPI_AIC",98
"68","AK","North Slope Borough","NHPI_A",62
"69","AK","Northwest Arctic Borough","A_AIC",87
"70","AK","Northwest Arctic Borough","A_A",64
"71","AK","Northwest Arctic Borough","NHPI_AIC",12
"72","AK","Northwest Arctic Borough","NHPI_A",4
"73","AK","Prince of Wales-Outer Ketchikan Census Area","A_AIC",71
"74","AK","Prince of Wales-Outer Ketchikan Census Area","A_A",24
"75","AK","Prince of Wales-Outer Ketchikan Census Area","NHPI_AIC",18
"76","AK","Prince of Wales-Outer Ketchikan Census Area","NHPI_A",3
"77","AK","Sitka City and Borough","A_AIC",465
"78","AK","Sitka City and Borough","A_A",342
"79","AK","Sitka City and Borough","NHPI_AIC",60
"80","AK","Sitka City and Borough","NHPI_A",40
"81","AK","Skagway-Hoonah-Angoon Census Area","A_AIC",40
"82","AK","Skagway-Hoonah-Angoon Census Area","A_A",13
"83","AK","Skagway-Hoonah-Angoon Census Area","NHPI_AIC",10
