"year","CTYNAME","STNAME","api"
2000,"Autauga","Alabama",212.67
2000,"Baldwin","Alabama",393
2000,"Barbour","Alabama",58.6
2000,"Bibb","Alabama",20.93
2000,"Blount","Alabama",52.2
2000,"Bullock","Alabama",13.07
2000,"Butler","Alabama",20.8
2000,"Calhoun","Alabama",1121.93
2000,"Chambers","Alabama",14.93
2000,"Cherokee","Alabama",31.6
2000,"Chilton","Alabama",53.8
2000,"Choctaw","Alabama",15
2000,"Clarke","Alabama",44.07
2000,"Clay","Alabama",16.53
2000,"Cleburne","Alabama",19.67
2000,"Coffee","Alabama",409.07
2000,"Colbert","Alabama",122.67
2000,"Conecuh","Alabama",13.67
2000,"Coosa","Alabama",5.07
2000,"Covington","Alabama",57
2000,"Crenshaw","Alabama",12.67
2000,"Cullman","Alabama",195.87
2000,"Dale","Alabama",954
2000,"Dallas","Alabama",153
2000,"De Kalb","Alabama",117.6
2000,"Elmore","Alabama",235.87
2000,"Escambia","Alabama",73.87
2000,"Etowah","Alabama",454.4
2000,"Fayette","Alabama",23.73
2000,"Franklin","Alabama",43.53
2000,"Geneva","Alabama",24.13
2000,"Greene","Alabama",6
2000,"Hale","Alabama",15.33
2000,"Henry","Alabama",9.8
2000,"Houston","Alabama",659.87
2000,"Jackson","Alabama",128
2000,"Jefferson","Alabama",3966.93
2000,"Lamar","Alabama",15.07
2000,"Lauderdale","Alabama",276.53
2000,"Lawrence","Alabama",33.4
2000,"Lee","Alabama",2200.2
2000,"Limestone","Alabama",239.67
2000,"Lowndes","Alabama",4.47
2000,"Macon","Alabama",126.07
2000,"Madison","Alabama",6240.47
2000,"Marengo","Alabama",13.6
2000,"Marion","Alabama",53.2
2000,"Marshall","Alabama",171.47
2000,"Mobile","Alabama",4450.53
2000,"Monroe","Alabama",64.6
2000,"Montgomery","Alabama",1994.27
2000,"Morgan","Alabama",536.53
2000,"Perry","Alabama",16.73
2000,"Pickens","Alabama",35.73
2000,"Pike","Alabama",95.53
2000,"Randolph","Alabama",26.27
2000,"Russell","Alabama",164.27
2000,"Shelby","Alabama",1138.33
2000,"St Clair","Alabama",135.2
2000,"Sumter","Alabama",39
2000,"Talladega","Alabama",150.27
2000,"Tallapoosa","Alabama",52.93
2000,"Tuscaloosa","Alabama",1596.67
2000,"Walker","Alabama",155
2000,"Washington","Alabama",17.53
2000,"Wilcox","Alabama",4.73
2000,"Winston","Alabama",43
2000,"Aleutians East","Alaska",401.33
2000,"Aleutians West","Alaska",696.07
2000,"Anchorage","Alaska",17024.2
2000,"Bethel","Alaska",135.47
2000,"Bristol Bay","Alaska",8.8
2000,"Denali","Alaska",19.8
2000,"Dillingham","Alaska",40.87
2000,"Fairbanks North Star","Alaska",2942.2
2000,"Haines","Alaska",26.47
2000,"Juneau","Alaska",1766.8
2000,"Kenai Peninsula","Alaska",695.6
2000,"Ketchikan Gateway","Alaska",697.2
2000,"Kodiak Island","Alaska",2277
2000,"Lake and Peninsula","Alaska",10.33
2000,"Matanuska-Susitna","Alaska",600.6
2000,"Nome","Alaska",67.87
2000,"North Slope","Alaska",429.47
2000,"Northwest Arctic","Alaska",71.4
2000,"Prince of Wales-Outer Ketchikan","Alaska",39.33
2000,"Sitka","Alaska",399.27
2000,"Skagway-Hoonah-Angoon","Alaska",28.13
2000,"Southeast Fairbanks","Alaska",104.47
2000,"Valdez-Cordova","Alaska",446.87
2000,"Wade Hampton","Alaska",41.07
2000,"Wrangell-Petersburg","Alaska",122.67
2000,"Yakutat","Alaska",26.33
2000,"Yukon-Koyukuk","Alaska",40.27
2000,"Apache","Arizona",176.93
2000,"Cochise","Arizona",3711.6
2000,"Coconino","Arizona",1479.93
2000,"Gila","Arizona",290.13
2000,"Graham","Arizona",179.13
2000,"Greenlee","Arizona",34.67
2000,"La Paz","Arizona",170.13
2000,"Maricopa","Arizona",74426.4
2000,"Mohave","Arizona",1380.93
2000,"Navajo","Arizona",538.2
2000,"Pima","Arizona",20773.73
2000,"Pinal","Arizona",1089.53
2000,"Santa Cruz","Arizona",302.27
2000,"Yavapai","Arizona",1020.93
2000,"Yuma","Arizona",2685.4
2000,"Arkansas","Arkansas",41.47
2000,"Ashley","Arkansas",72.73
2000,"Baxter","Arkansas",112.13
2000,"Benton","Arkansas",989.27
2000,"Boone","Arkansas",90.87
2000,"Bradley","Arkansas",3.93
2000,"Calhoun","Arkansas",11.4
2000,"Carroll","Arkansas",107.13
2000,"Chicot","Arkansas",83.93
2000,"Clark","Arkansas",100.53
2000,"Clay","Arkansas",20.8
2000,"Cleburne","Arkansas",41.6
2000,"Cleveland","Arkansas",19.2
2000,"Columbia","Arkansas",73.87
2000,"Conway","Arkansas",40.47
2000,"Craighead","Arkansas",605.33
2000,"Crawford","Arkansas",709.07
2000,"Crittenden","Arkansas",263
2000,"Cross","Arkansas",56.2
2000,"Dallas","Arkansas",12.07
2000,"Desha","Arkansas",41.07
2000,"Drew","Arkansas",40.27
2000,"Faulkner","Arkansas",414.8
2000,"Franklin","Arkansas",44.2
2000,"Fulton","Arkansas",17.2
2000,"Garland","Arkansas",388.4
2000,"Grant","Arkansas",37.27
2000,"Greene","Arkansas",107.8
2000,"Hempstead","Arkansas",69.27
2000,"Hot Spring","Arkansas",61.87
2000,"Howard","Arkansas",92.8
2000,"Independence","Arkansas",220
2000,"Izard","Arkansas",38.87
2000,"Jackson","Arkansas",30.2
2000,"Jefferson","Arkansas",463.67
2000,"Johnson","Arkansas",135.27
2000,"Lafayette","Arkansas",20.67
2000,"Lawrence","Arkansas",35
2000,"Lee","Arkansas",60.8
2000,"Lincoln","Arkansas",32.8
2000,"Little River","Arkansas",23.73
2000,"Logan","Arkansas",40.33
2000,"Lonoke","Arkansas",244.07
2000,"Madison","Arkansas",31.67
2000,"Marion","Arkansas",49.2
2000,"Miller","Arkansas",204.07
2000,"Mississippi","Arkansas",421.27
2000,"Monroe","Arkansas",27.67
2000,"Montgomery","Arkansas",14.8
2000,"Nevada","Arkansas",6
2000,"Newton","Arkansas",34.6
2000,"Ouachita","Arkansas",75.6
2000,"Perry","Arkansas",27.87
2000,"Phillips","Arkansas",102.67
2000,"Pike","Arkansas",11
2000,"Poinsett","Arkansas",68.53
2000,"Polk","Arkansas",55.27
2000,"Pope","Arkansas",360.27
2000,"Prairie","Arkansas",5.4
2000,"Pulaski","Arkansas",3853.73
2000,"Randolph","Arkansas",31.73
2000,"Saline","Arkansas",454.4
2000,"Scott","Arkansas",84.67
2000,"Searcy","Arkansas",21.13
2000,"Sebastian","Arkansas",5069.67
2000,"Sevier","Arkansas",23.4
2000,"Sharp","Arkansas",49.13
2000,"St Francis","Arkansas",173.73
2000,"Stone","Arkansas",36.07
2000,"Union","Arkansas",124.4
2000,"Van Buren","Arkansas",46.67
2000,"Washington","Arkansas",1943.2
2000,"White","Arkansas",215.93
2000,"Woodruff","Arkansas",12.47
2000,"Yell","Arkansas",160.13
2000,"Alameda","California",285589.4
2000,"Alpine","California",9.73
2000,"Amador","California",388
2000,"Butte","California",8245.8
2000,"Calaveras","California",405.4
2000,"Colusa","California",583.27
2000,"Contra Costa","California",126869.2
2000,"Del Norte","California",778.27
2000,"El Dorado","California",4780.13
2000,"Fresno","California",86026
2000,"Glenn","California",1207.13
2000,"Humboldt","California",3489.87
2000,"Imperial","California",3953.87
2000,"Inyo","California",260.73
2000,"Kern","California",31347.13
2000,"Kings","California",5919.67
2000,"Lake","California",843.47
2000,"Lassen","California",543.53
2000,"Los Angeles","California",1285291.53
2000,"Madera","California",2403.8
2000,"Marin","California",14271.6
2000,"Mariposa","California",214.73
2000,"Mendocino","California",1387.6
2000,"Merced","California",22172.47
2000,"Modoc","California",53.87
2000,"Mono","California",204.27
2000,"Monterey","California",39255
2000,"Napa","California",5542.8
