GEOID,NAME,citizen,total_pop,citizenship_perc,non_citizenship_perc
06037101110,"Census Tract 1011.10, Los Angeles County, California",280,406,68.97,31.03
06037101122,"Census Tract 1011.22, Los Angeles County, California",380,426,89.2,10.799999999999997
06037101220,"Census Tract 1012.20, Los Angeles County, California",302,390,77.44,22.560000000000002
06037101221,"Census Tract 1012.21, Los Angeles County, California",176,267,65.92,34.08
06037101222,"Census Tract 1012.22, Los Angeles County, California",53,65,81.54,18.459999999999994
06037101300,"Census Tract 1013, Los Angeles County, California",76,139,54.68,45.32
06037101400,"Census Tract 1014, Los Angeles County, California",268,331,80.97,19.03
06037102103,"Census Tract 1021.03, Los Angeles County, California",103,242,42.56,57.44
06037102104,"Census Tract 1021.04, Los Angeles County, California",443,507,87.38,12.620000000000005
06037102105,"Census Tract 1021.05, Los Angeles County, California",68,76,89.47,10.530000000000001
06037102107,"Census Tract 1021.07, Los Angeles County, California",343,419,81.86,18.14
06037103101,"Census Tract 1031.01, Los Angeles County, California",151,200,75.5,24.5
06037103102,"Census Tract 1031.02, Los Angeles County, California",397,476,83.4,16.599999999999994
06037103201,"Census Tract 1032.01, Los Angeles County, California",346,371,93.26,6.739999999999995
06037103202,"Census Tract 1032.02, Los Angeles County, California",122,122,100,0
06037103300,"Census Tract 1033, Los Angeles County, California",287,300,95.67,4.329999999999998
06037103401,"Census Tract 1034.01, Los Angeles County, California",459,471,97.45,2.549999999999997
06037103402,"Census Tract 1034.02, Los Angeles County, California",648,683,94.88,5.1200000000000045
06037104103,"Census Tract 1041.03, Los Angeles County, California",300,300,100,0
06037104105,"Census Tract 1041.05, Los Angeles County, California",277,314,88.22,11.780000000000001
06037104108,"Census Tract 1041.08, Los Angeles County, California",96,96,100,0
06037104124,"Census Tract 1041.24, Los Angeles County, California",322,365,88.22,11.780000000000001
06037104201,"Census Tract 1042.01, Los Angeles County, California",0,0,0,100
06037104203,"Census Tract 1042.03, Los Angeles County, California",35,40,87.5,12.5
06037104204,"Census Tract 1042.04, Los Angeles County, California",162,193,83.94,16.060000000000002
06037104310,"Census Tract 1043.10, Los Angeles County, California",11,16,68.75,31.25
06037104321,"Census Tract 1043.21, Los Angeles County, California",28,28,100,0
06037104322,"Census Tract 1043.22, Los Angeles County, California",0,23,0,100
06037104401,"Census Tract 1044.01, Los Angeles County, California",39,39,100,0
06037104403,"Census Tract 1044.03, Los Angeles County, California",96,128,75,25
06037104404,"Census Tract 1044.04, Los Angeles County, California",70,97,72.16,27.840000000000003
06037104500,"Census Tract 1045, Los Angeles County, California",0,0,0,100
06037104610,"Census Tract 1046.10, Los Angeles County, California",0,0,0,100
06037104620,"Census Tract 1046.20, Los Angeles County, California",19,19,100,0
06037104701,"Census Tract 1047.01, Los Angeles County, California",13,13,100,0
06037104703,"Census Tract 1047.03, Los Angeles County, California",0,0,0,100
06037104704,"Census Tract 1047.04, Los Angeles County, California",51,68,75,25
06037104821,"Census Tract 1048.21, Los Angeles County, California",81,95,85.26,14.739999999999995
06037104822,"Census Tract 1048.22, Los Angeles County, California",73,151,48.34,51.66
06037104823,"Census Tract 1048.23, Los Angeles County, California",300,362,82.87,17.129999999999995
06037104824,"Census Tract 1048.24, Los Angeles County, California",42,42,100,0
06037106010,"Census Tract 1060.10, Los Angeles County, California",67,82,81.71,18.290000000000006
06037106020,"Census Tract 1060.20, Los Angeles County, California",67,67,100,0
06037106111,"Census Tract 1061.11, Los Angeles County, California",364,372,97.85,2.1500000000000057
06037106112,"Census Tract 1061.12, Los Angeles County, California",369,428,86.21,13.790000000000006
06037106113,"Census Tract 1061.13, Los Angeles County, California",239,275,86.91,13.090000000000003
06037106114,"Census Tract 1061.14, Los Angeles County, California",653,660,98.94,1.0600000000000023
06037106403,"Census Tract 1064.03, Los Angeles County, California",3,8,37.5,62.5
06037106405,"Census Tract 1064.05, Los Angeles County, California",57,57,100,0
06037106406,"Census Tract 1064.06, Los Angeles County, California",382,439,87.02,12.980000000000004
06037106407,"Census Tract 1064.07, Los Angeles County, California",101,120,84.17,15.829999999999998
06037106408,"Census Tract 1064.08, Los Angeles County, California",73,112,65.18,34.81999999999999
06037106510,"Census Tract 1065.10, Los Angeles County, California",930,1252,74.28,25.72
06037106520,"Census Tract 1065.20, Los Angeles County, California",97,119,81.51,18.489999999999995
06037106603,"Census Tract 1066.03, Los Angeles County, California",617,654,94.34,5.659999999999997
06037106604,"Census Tract 1066.04, Los Angeles County, California",55,93,59.14,40.86
