"","GEOID","NAME","variable","estimate","moe","label","total_asn_pop","percent"
"1","1","United States","B02018_001",23117134,31084,"Estimate!!Total Groups Tallied:",23117134,100
"2","1","United States","B02018_007",5121528,29900,"Chinese, except Taiwanese",23117134,22.1546840538278
"3","1","United States","B02018_002",4505780,26148,"Asian Indian",23117134,19.4910839726066
"4","1","United States","B02018_008",4133942,27141,"Filipino",23117134,17.882588732669
"5","1","United States","B02018_022",2167209,21371,"Vietnamese",23117134,9.37490348068234
"6","1","United States","B02018_012",1926508,17066,"Korean",23117134,8.33368011795926
"7","1","United States","B02018_011",1550875,18238,"Japanese",23117134,6.70876848315193
"8","1","United States","B02018_024",698168,11252,"Other Asian, not specified",23117134,3.0201321669027
"9","1","United States","B02018_018",550834,13312,"Pakistani",23117134,2.38279537593198
"10","1","United States","B02018_006",333529,8358,"Cambodian",23117134,1.44277833056641
"11","1","United States","B02018_009",323156,7670,"Hmong",23117134,1.39790685125587
"12","1","United States","B02018_021",316607,6865,"Thai",23117134,1.36957721489178
"13","1","United States","B02018_013",257297,7827,"Laotian",23117134,1.11301426898334
"14","1","United States","B02018_020",232406,6110,"Taiwanese",23117134,1.00534088698019
"15","1","United States","B02018_003",197395,5725,"Bangladeshi",23117134,0.853890451991151
"16","1","United States","B02018_005",185406,7283,"Burmese",23117134,0.802028486749266
"17","1","United States","B02018_016",170677,5651,"Nepalese",23117134,0.738313841153493
"18","1","United States","B02018_023",148699,7220,"Other Asian, specified",23117134,0.643241502168911
"19","1","United States","B02018_010",129579,4643,"Indonesian",23117134,0.560532287436669
"20","1","United States","B02018_019",60838,3259,"Sri Lankan",23117134,0.263172761813813
"21","1","United States","B02018_014",34753,2192,"Malaysian",23117134,0.150334379685648
"22","1","United States","B02018_015",28260,2648,"Mongolian",23117134,0.122246987883533
"23","1","United States","B02018_004",27972,2318,"Bhutanese",23117134,0.121001158707649
"24","1","United States","B02018_017",15716,1158,"Okinawan",23117134,0.0679842060006227
