"","GEOID","NAME","variable","estimate","moe","label","total_asn_pop","percent"
"1","06037","Los Angeles County, California","B02018_001",1752692,5927,"Estimate!!Total Groups Tallied:",1752692,100
"2","06037","Los Angeles County, California","B02018_007",520433,7783,"Chinese, except Taiwanese",1752692,29.6933517126797
"3","06037","Los Angeles County, California","B02018_008",410034,6690,"Filipino",1752692,23.3945268193157
"4","06037","Los Angeles County, California","B02018_012",231147,5603,"Korean",1752692,13.1881129143055
"5","06037","Los Angeles County, California","B02018_011",146384,4869,"Japanese",1752692,8.35195231107348
"6","06037","Los Angeles County, California","B02018_022",125251,4357,"Vietnamese",1752692,7.14620709171948
"7","06037","Los Angeles County, California","B02018_002",118602,3997,"Asian Indian",1752692,6.76684779755941
"8","06037","Los Angeles County, California","B02018_006",39564,2562,"Cambodian",1752692,2.25732758522319
"9","06037","Los Angeles County, California","B02018_024",33124,2164,"Other Asian, not specified",1752692,1.8898928048967
"10","06037","Los Angeles County, California","B02018_020",32466,1965,"Taiwanese",1752692,1.85235055560247
"11","06037","Los Angeles County, California","B02018_021",30843,2144,"Thai",1752692,1.75975014434938
