"STNAME","CTYNAME","RACE","ESTIM","MR","NUM_DIFF","EOC","COVERAGE","AGE"
"Alabama","Autauga County","A_A",47,36,-11,-26.51,"undercount","65+"
"Alabama","Autauga County","A_AIC",54,35,-19,-42.7,"undercount","65+"
"Alabama","Autauga County","NHPI_A",2,0,-2,-200,"undercount","65+"
"Alabama","Autauga County","NHPI_AIC",3,1,-2,-100,"undercount","65+"
"Alabama","Baldwin County","A_A",139,97,-42,-35.59,"undercount","65+"
"Alabama","Baldwin County","A_AIC",155,92,-63,-51.01,"undercount","65+"
"Alabama","Baldwin County","NHPI_A",5,3,-2,-50,"undercount","65+"
"Alabama","Baldwin County","NHPI_AIC",12,11,-1,-8.7,"undercount","65+"
"Alabama","Barbour County","A_A",13,15,2,14.29,"overcount","65+"
"Alabama","Barbour County","A_AIC",21,3,-18,-150,"undercount","65+"
"Alabama","Barbour County","NHPI_A",1,3,2,100,"overcount","65+"
"Alabama","Barbour County","NHPI_AIC",4,2,-2,-66.67,"undercount","65+"
"Alabama","Bibb County","A_A",2,3,1,40,"overcount","65+"
"Alabama","Bibb County","A_AIC",5,6,1,18.18,"overcount","65+"
"Alabama","Bibb County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Bibb County","NHPI_AIC",1,2,1,66.67,"overcount","65+"
"Alabama","Blount County","A_A",13,9,-4,-36.36,"undercount","65+"
"Alabama","Blount County","A_AIC",21,2,-19,-165.22,"undercount","65+"
"Alabama","Blount County","NHPI_A",0,4,4,200,"overcount","65+"
"Alabama","Blount County","NHPI_AIC",3,0,-3,-200,"undercount","65+"
"Alabama","Bullock County","A_A",2,1,-1,-66.67,"undercount","65+"
"Alabama","Bullock County","A_AIC",5,0,-5,-200,"undercount","65+"
"Alabama","Bullock County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Bullock County","NHPI_AIC",2,1,-1,-66.67,"undercount","65+"
"Alabama","Butler County","A_A",9,7,-2,-25,"undercount","65+"
"Alabama","Butler County","A_AIC",13,12,-1,-8,"undercount","65+"
"Alabama","Butler County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Butler County","NHPI_AIC",2,2,0,0,"equal","65+"
"Alabama","Calhoun County","A_A",93,88,-5,-5.52,"undercount","65+"
"Alabama","Calhoun County","A_AIC",112,96,-16,-15.38,"undercount","65+"
"Alabama","Calhoun County","NHPI_A",9,8,-1,-11.76,"undercount","65+"
"Alabama","Calhoun County","NHPI_AIC",15,13,-2,-14.29,"undercount","65+"
"Alabama","Chambers County","A_A",10,20,10,66.67,"overcount","65+"
"Alabama","Chambers County","A_AIC",17,8,-9,-72,"undercount","65+"
"Alabama","Chambers County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Chambers County","NHPI_AIC",4,0,-4,-200,"undercount","65+"
"Alabama","Cherokee County","A_A",9,2,-7,-127.27,"undercount","65+"
"Alabama","Cherokee County","A_AIC",18,2,-16,-160,"undercount","65+"
"Alabama","Cherokee County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Cherokee County","NHPI_AIC",7,0,-7,-200,"undercount","65+"
"Alabama","Chilton County","A_A",7,7,0,0,"equal","65+"
"Alabama","Chilton County","A_AIC",16,10,-6,-46.15,"undercount","65+"
"Alabama","Chilton County","NHPI_A",1,0,-1,-200,"undercount","65+"
"Alabama","Chilton County","NHPI_AIC",6,0,-6,-200,"undercount","65+"
"Alabama","Choctaw County","A_A",4,1,-3,-120,"undercount","65+"
"Alabama","Choctaw County","A_AIC",5,1,-4,-133.33,"undercount","65+"
"Alabama","Choctaw County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Choctaw County","NHPI_AIC",2,0,-2,-200,"undercount","65+"
"Alabama","Clarke County","A_A",7,6,-1,-15.38,"undercount","65+"
"Alabama","Clarke County","A_AIC",13,2,-11,-146.67,"undercount","65+"
"Alabama","Clarke County","NHPI_A",1,0,-1,-200,"undercount","65+"
"Alabama","Clarke County","NHPI_AIC",3,1,-2,-100,"undercount","65+"
"Alabama","Clay County","A_A",2,2,0,0,"equal","65+"
"Alabama","Clay County","A_AIC",2,0,-2,-200,"undercount","65+"
"Alabama","Clay County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Clay County","NHPI_AIC",1,0,-1,-200,"undercount","65+"
"Alabama","Cleburne County","A_A",9,5,-4,-57.14,"undercount","65+"
"Alabama","Cleburne County","A_AIC",10,4,-6,-85.71,"undercount","65+"
"Alabama","Cleburne County","NHPI_A",0,0,0,NA,"equal","65+"
"Alabama","Cleburne County","NHPI_AIC",1,1,0,0,"equal","65+"
"Alabama","Coffee County","A_A",69,59,-10,-15.62,"undercount","65+"
"Alabama","Coffee County","A_AIC",80,63,-17,-23.78,"undercount","65+"
"Alabama","Coffee County","NHPI_A",2,4,2,66.67,"overcount","65+"
"Alabama","Coffee County","NHPI_AIC",7,3,-4,-80,"undercount","65+"
"Alabama","Colbert County","A_A",16,19,3,17.14,"overcount","65+"
"Alabama","Colbert County","A_AIC",27,9,-18,-100,"undercount","65+"
"Alabama","Colbert County","NHPI_A",1,0,-1,-200,"undercount","65+"
"Alabama","Colbert County","NHPI_AIC",6,2,-4,-100,"undercount","65+"
"Alabama","Conecuh County","A_A",0,1,1,200,"overcount","65+"
"Alabama","Conecuh County","A_AIC",2,0,-2,-200,"undercount","65+"
"Alabama","Conecuh County","NHPI_A",2,0,-2,-200,"undercount","65+"
"Alabama","Conecuh County","NHPI_AIC",3,0,-3,-200,"undercount","65+"
"Alabama","Coosa County","A_A",3,1,-2,-100,"undercount","65+"
"Alabama","Coosa County","A_AIC",4,0,-4,-200,"undercount","65+"
"Alabama","Coosa County","NHPI_A",1,0,-1,-200,"undercount","65+"
"Alabama","Coosa County","NHPI_AIC",1,0,-1,-200,"undercount","65+"
"Alabama","Covington County","A_A",15,10,-5,-40,"undercount","65+"
"Alabama","Covington County","A_AIC",20,0,-20,-200,"undercount","65+"
"Alabama","Covington County","NHPI_A",3,0,-3,-200,"undercount","65+"
"Alabama","Covington County","NHPI_AIC",8,0,-8,-200,"undercount","65+"
"Alabama","Crenshaw County","A_A",1,0,-1,-200,"undercount","65+"
